U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.17V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;11.06.2024 16:08:06.762
40.00V;2.49V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:11.761
40.00V;2.53V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:16.756
40.00V;2.56V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:21.758
40.00V;2.61V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:26.751
40.00V;2.65V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:31.766
40.00V;2.70V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:36.761
40.00V;2.73V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:41.766
40.00V;2.78V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:46.753
40.00V;2.82V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:51.758
40.00V;2.83V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:08:56.751
40.00V;2.82V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:01.761
40.00V;2.84V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:06.760
40.00V;2.85V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:11.756
40.00V;2.86V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:16.757
40.00V;2.87V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:21.753
40.00V;2.88V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:26.766
40.00V;2.89V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:31.765
40.00V;2.86V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:36.768
40.00V;2.87V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:41.777
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:46.776
40.00V;2.89V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:51.767
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:09:56.781
40.00V;2.87V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:01.771
40.00V;2.88V;0.100A;0.124A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:06.777
40.00V;2.90V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:11.772
40.00V;2.87V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:16.767
40.00V;2.88V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:21.776
40.00V;2.88V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:26.775
40.00V;2.89V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:31.772
40.00V;2.88V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:36.768
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:41.776
40.00V;2.88V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:46.774
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:51.775
40.00V;2.89V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:10:56.779
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:01.772
40.00V;2.89V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:06.770
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:11.780
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:16.773
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:21.769
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:26.768
40.00V;2.91V;0.100A;0.120A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:31.776
40.00V;2.89V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:36.779
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:41.770
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:46.770
40.00V;2.90V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:51.769
40.00V;2.91V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:11:56.769
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:01.769
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:06.773
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:11.772
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:16.768
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:21.773
40.00V;2.91V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:26.772
40.00V;2.91V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:31.774
40.00V;2.91V;0.100A;0.121A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:36.777
40.00V;2.90V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:41.778
40.00V;2.92V;0.100A;0.122A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:46.774
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:51.779
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:12:56.768
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:01.767
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:06.779
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:11.769
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:16.770
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:21.773
40.00V;2.92V;0.100A;0.121A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:26.773
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:31.767
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:36.776
40.00V;2.91V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:41.779
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:46.772
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:51.782
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:13:56.772
40.00V;2.91V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:01.775
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:06.781
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:11.768
40.00V;2.91V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:16.768
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:21.769
40.00V;2.91V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:26.777
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:31.774
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:36.769
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:41.777
40.00V;2.91V;0.100A;0.120A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:46.779
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:51.772
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:14:56.778
40.00V;2.92V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:15:01.776
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:15:06.774
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:15:11.778
40.00V;2.91V;0.100A;0.122A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:15:16.776
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;11.06.2024 16:15:21.787
