U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.24V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;31.05.2024 18:56:37.424
40.00V;1.76V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:42.416
40.00V;2.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:47.413
40.00V;2.15V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:52.422
40.00V;2.20V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:57.414
40.00V;2.24V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:02.423
40.00V;2.27V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:07.411
40.00V;2.30V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:12.426
40.00V;2.31V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:17.435
40.00V;2.32V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:22.436
40.00V;2.33V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:27.430
40.00V;2.33V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:32.427
40.00V;2.34V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:37.436
40.00V;2.34V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:42.439
40.00V;2.34V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:47.432
40.00V;2.35V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:52.432
40.00V;2.34V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:57.430
40.00V;2.36V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:02.435
40.00V;2.38V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:07.441
40.00V;2.38V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:12.434
40.00V;2.38V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:17.437
40.00V;2.36V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:22.429
40.00V;2.37V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:27.436
40.00V;2.38V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:32.433
40.00V;2.38V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:37.427
40.00V;2.38V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:42.433
40.00V;2.38V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:47.428
40.00V;2.37V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:52.436
40.00V;2.36V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:57.429
40.00V;2.38V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:02.431
40.00V;2.38V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:07.438
40.00V;2.39V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:12.439
40.00V;2.39V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:17.430
40.00V;2.39V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:22.429
40.00V;2.39V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:27.430
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:32.436
40.00V;2.40V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:37.437
40.00V;2.38V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:42.426
40.00V;2.39V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:47.433
40.00V;2.39V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:52.431
40.00V;2.39V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:59:57.438
40.00V;2.39V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:02.435
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:07.428
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:12.441
40.00V;2.40V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:17.431
40.00V;2.39V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:22.433
40.00V;2.40V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:27.427
40.00V;2.39V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:32.440
40.00V;2.39V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:37.435
40.00V;2.41V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:42.440
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:47.439
40.00V;2.39V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:52.438
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:00:57.433
40.00V;2.41V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:02.430
40.00V;2.41V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:07.430
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:12.427
40.00V;2.43V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:17.427
40.00V;2.40V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:22.427
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:27.441
40.00V;2.41V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:32.427
40.00V;2.40V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:37.435
40.00V;2.40V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:42.437
40.00V;2.41V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:47.428
40.00V;2.41V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:52.435
40.00V;2.41V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:01:57.438
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:02.442
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:07.443
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:12.445
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:17.451
40.00V;2.41V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:22.444
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:27.453
40.00V;2.42V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:32.445
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:37.447
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:42.448
40.00V;2.41V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:47.452
40.00V;2.40V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:52.451
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:02:57.445
40.00V;2.40V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:02.457
40.00V;2.41V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:07.444
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:12.445
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:17.449
40.00V;2.42V;0.100A;0.098A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:22.457
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:27.457
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:32.443
40.00V;2.43V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:37.444
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:42.450
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:47.453
40.00V;2.42V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:52.448
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:03:57.444
40.00V;2.42V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:02.455
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:07.457
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:12.454
40.00V;2.43V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:17.446
40.00V;2.42V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:22.450
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:27.451
40.00V;2.44V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:32.456
40.00V;2.44V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:37.462
40.00V;2.43V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:42.464
40.00V;2.43V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:47.468
40.00V;2.41V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:52.469
40.00V;2.42V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:04:57.469
40.00V;2.42V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:05:02.463
40.00V;2.43V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:05:07.465
40.00V;2.44V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:05:12.470
40.00V;2.43V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:05:17.467
40.00V;2.44V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 19:05:22.467
