Time,Temperature (C),Pressure (kPa)
2024-05-31 14:29:55.196,25.2,100.9
2024-05-31 14:30:07.971,25.2,100.9
2024-05-31 14:30:20.740,25.2,100.9
2024-05-31 14:30:33.627,25.2,100.9
2024-05-31 14:30:46.304,25.2,100.9
2024-05-31 14:30:59.069,25.2,100.9
2024-05-31 14:31:11.675,25.2,100.9
2024-05-31 14:31:24.389,25.2,100.9
2024-05-31 14:31:37.288,25.2,100.9
2024-05-31 14:31:49.945,25.2,100.9
2024-05-31 14:32:02.754,25.2,100.9
2024-05-31 14:32:15.500,25.2,100.9
2024-05-31 14:32:28.060,25.2,100.9
2024-05-31 14:32:40.701,25.2,100.9
2024-05-31 14:32:53.233,25.2,100.9
2024-05-31 14:33:05.671,25.2,100.9
2024-05-31 14:33:18.121,25.2,100.9
2024-05-31 14:33:30.666,25.2,100.9
2024-05-31 14:33:43.077,25.2,100.9
2024-05-31 14:33:55.587,25.2,100.9
2024-05-31 14:34:08.001,25.2,100.9
2024-05-31 14:34:20.440,25.2,100.9
2024-05-31 14:34:33.036,25.2,100.9
2024-05-31 14:34:45.456,25.2,100.9
2024-05-31 14:34:57.978,25.2,100.9
2024-05-31 14:35:10.564,25.2,100.9
2024-05-31 14:35:22.890,25.2,100.9
2024-05-31 14:35:35.314,25.2,100.9
2024-05-31 14:35:47.589,25.2,100.9
2024-05-31 14:35:59.892,25.2,100.9
2024-05-31 14:36:12.410,25.2,100.9
2024-05-31 14:36:24.788,25.2,100.9
2024-05-31 14:36:36.983,25.2,100.9
2024-05-31 14:36:49.401,25.2,100.9
2024-05-31 14:37:01.804,25.2,100.9
2024-05-31 14:37:13.935,25.2,100.9
2024-05-31 14:37:26.361,25.2,100.9
2024-05-31 14:37:38.708,25.2,100.9
2024-05-31 14:37:50.860,25.2,100.9
2024-05-31 14:38:03.137,25.2,100.9
2024-05-31 14:38:15.273,25.2,100.9
2024-05-31 14:38:27.382,25.2,100.9
2024-05-31 14:38:39.751,25.2,100.9
2024-05-31 14:38:51.874,25.2,100.9
2024-05-31 14:39:04.146,25.2,100.9
2024-05-31 14:39:16.414,25.1,100.9
2024-05-31 14:39:28.584,25.2,100.9
2024-05-31 14:39:40.718,25.2,100.9
2024-05-31 14:39:52.848,25.2,100.9
2024-05-31 14:40:05.048,25.2,100.9
2024-05-31 14:40:53.519,25.2,100.9
2024-05-31 14:41:05.580,25.2,100.9
2024-05-31 14:41:17.629,25.1,100.9
2024-05-31 14:41:29.749,25.1,100.9
2024-05-31 14:41:41.570,25.1,100.9
2024-05-31 14:41:53.628,25.1,100.9
2024-05-31 14:42:05.647,25.2,100.9
2024-05-31 14:42:17.631,25.2,100.9
2024-05-31 14:42:29.521,25.2,100.9
2024-05-31 14:42:41.540,25.2,100.9
2024-05-31 14:42:53.627,25.2,100.9
2024-05-31 14:43:05.580,25.2,100.9
2024-05-31 14:43:17.681,25.2,100.9
2024-05-31 14:43:29.488,25.2,100.9
2024-05-31 14:43:41.426,25.2,100.9
2024-05-31 14:43:53.483,25.2,100.9
2024-05-31 14:44:05.510,25.2,100.9
2024-05-31 14:44:17.485,25.2,100.9
2024-05-31 14:44:29.472,25.2,100.9
2024-05-31 14:44:41.331,25.2,100.9
2024-05-31 14:44:53.184,25.2,100.9
2024-05-31 14:45:05.026,25.2,100.9
2024-05-31 14:45:16.985,25.2,100.9
2024-05-31 14:45:28.921,25.1,100.9
2024-05-31 14:45:40.658,25.2,100.9
2024-05-31 14:45:52.477,25.2,100.9
2024-05-31 14:46:04.422,25.2,100.9
2024-05-31 14:46:16.002,25.2,100.9
2024-05-31 14:46:27.915,25.1,100.9
2024-05-31 14:46:39.875,25.1,100.9
2024-05-31 14:46:51.678,25.2,100.9
2024-05-31 14:47:03.424,25.1,100.9
2024-05-31 14:47:15.206,25.1,100.9
2024-05-31 14:47:27.053,25.1,100.9
2024-05-31 14:47:38.888,25.2,100.9
2024-05-31 14:47:50.705,25.2,100.9
2024-05-31 14:48:02.354,25.2,100.9
2024-05-31 14:48:13.945,25.2,100.9
