U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.00V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;10.06.2024 15:33:14.170
40.00V;2.50V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:19.171
40.00V;2.63V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:24.182
40.00V;2.79V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:29.181
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:34.189
40.00V;2.94V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:39.190
40.00V;2.93V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:44.186
40.00V;2.96V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:49.195
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:54.197
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:33:59.192
40.00V;2.99V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:04.189
40.00V;3.00V;0.100A;0.122A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:09.190
40.00V;2.98V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:14.189
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:19.188
40.00V;3.00V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:24.195
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:29.189
40.00V;3.00V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:34.194
40.00V;3.00V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:39.191
40.00V;3.00V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:44.194
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:49.196
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:54.201
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:34:59.205
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:04.206
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:09.220
40.00V;3.04V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:14.232
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:19.243
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:24.240
40.00V;3.01V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:29.231
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:34.234
40.00V;3.02V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:39.230
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:44.233
40.00V;3.04V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:49.235
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:54.245
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:35:59.251
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:04.260
40.00V;3.04V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:09.263
40.00V;3.04V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:36:14.290
