I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.116,2.36,1.1600000000000001,116.00000000000001,1971.0720000000001,0.00054752
0.262,2.85,2.62,262.0,5376.240000000001,0.0014934000000000002
0.511,3.54,5.11,511.00000000000006,13024.368,0.00361788
0.763,4.47,7.63,763.0,24556.392,0.00682122
1.01,5.2,10.1,1010.0,37814.4,0.010504000000000001
1.507,6.4,15.069999999999999,1506.9999999999998,69442.56,0.0192896
2.009,7.62,20.09,2009.0,110221.776,0.03061716
3.005,9.56,30.049999999999997,3004.9999999999995,206840.16,0.0574556
