I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.116,2.71,1.1600000000000001,116.00000000000001,2263.3920000000003,0.00062872
0.266,3.08,2.66,266.0,5898.816000000001,0.0016385600000000003
0.512,3.71,5.12,512.0,13676.544,0.00379904
0.766,4.36,7.66,766.0,24046.272,0.00667952
1.014,4.95,10.14,1014.0,36138.96,0.0100386
1.509,6.11,15.09,1509.0,66383.928,0.01843998
2.013,7.09,20.13,2013.0,102759.62399999998,0.028544339999999994
3.003,8.34,30.03,3003.0,180324.14400000003,0.05009004000000001
