,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,5.515577980745061,93.07903071493409,5.857065973319318,93.28384916447318,0.5336703200997448,2.331633241919858,0.9243441089043042,4.03850723962173,5.163071144374499,6.03882881340275,91.11293033200188,95.14754032263585,98.59460869567916,99.1409151377925,2.848130884140072,4.933107397936673,96.27600147637638,101.18636913603859,55.02,57.55,56.333333333333336,56.43,0.01349533715720634,0.014719694942767009,0.014123054792510846,0.014154132277559192,0.0006781012779132759,0.0009438619642815563,0.0008368889258526694,0.0008887035353631762,3,0.6939948289448186,0.18176284008343213,2.170918832471301,1.8636911581626663,2.864913661416125,2.0454539982460886,0–2,116
1,250,4.714042996599236,89.7727816080793,4.70290555060479,89.88491852842299,0.03110475586324051,0.11435712578087841,0.0538750175121585,0.19807235206002613,4.68475634517845,4.737760925022799,89.71450008066338,89.88713159566707,94.48682460467855,94.55595180266327,0.08555948024567686,0.148193366854698,94.43632486750394,94.57188794084553,60.67,61.5,61.026666666666664,60.91,0.030526403745921124,0.030644107098955146,0.030604369677913273,0.030642598188863543,0.0015908894376255997,0.0016270289384213044,0.0016070607589652444,0.0016032639008488293,3,0.018149205426339243,0.03485537441800979,0.17041844775960158,0.0022130672440852095,0.11962693515933154,0.015936138182254922,2–4,266
2,500,5.927153317146548,85.33118053922362,6.044921307365476,85.81224737914064,0.14598612392728932,0.6281213982290169,0.29197224785457865,1.2562427964580338,5.8858030596405015,6.086271564871522,85.06037754833325,86.08305037003103,91.25833385637017,91.88267334177127,0.772859108748683,1.545718217497366,90.94618060797374,92.19482659016768,61.83,62.11,61.935,61.9,0.05385460131205456,0.055610431236207555,0.05504282815819065,0.05535314004225024,0.0035440576609130224,0.003950623561921035,0.003823306784710228,0.003899272958003428,4,0.15911824772497418,0.04135025750604626,0.7518698308073937,0.2708029908903882,0.9364927337975217,0.3121532483964131,4–6,511
3,750,11.581632237026252,75.34810041362118,11.774265597719232,75.45514088313797,0.7851235737413189,0.7193906210990431,1.5702471474826378,1.4387812421980861,10.946313250946673,12.40958458379881,74.26512059138838,76.53812070537077,86.92973265064742,87.79632296602514,1.217068292946296,2.434136585892592,86.58959968533037,88.1364559313422,61.98,62.67,62.335,62.345,0.0706617979404543,0.07336203282522145,0.0721143619623931,0.07221680854194831,0.009109549750381182,0.012690877409656734,0.011084579633347285,0.011268945686675613,4,0.8279523467725589,0.6353189860795787,1.1900202917495903,1.0829798222328009,1.2067232806947743,0.3401329653170535,6–8,764
4,1000,23.3618130598965,62.673638566000754,24.28069739683336,62.67650742213607,1.7403860667777826,0.48701983801019744,3.4807721335555653,0.9740396760203949,22.29540516600498,25.347105290724883,62.279653430830905,63.07049255730592,86.03545162589725,87.613154148079,1.6855716601988366,3.3711433203976733,85.82381564057528,87.82479013340098,63.84,64.41,64.1075,64.09,0.07577839383123652,0.07870085646411204,0.07724316091679792,0.07724669668592155,0.02273137586803518,0.03258894043899417,0.02879265233010845,0.02992514650670223,4,1.9852922308283816,1.0664078938915225,0.3968539913051643,0.39398513516984934,1.7893385075037287,0.21163598532197625,8–10,1010
5,1500,46.87326544758872,44.77389670432072,47.062004545527216,44.4472227548801,1.576264198043427,0.8686050221799563,3.152528396086854,1.7372100443599126,45.01844026512807,48.916829727987874,43.380294514002514,45.840824945198314,91.64716215190944,91.50922730040733,0.7498605670705264,1.4997211341410528,90.85926521032638,92.29712424199039,67.98,68.53,68.27,68.285,0.07461998312282578,0.08081284340827379,0.077153495162967,0.07659057706038422,0.0742646131126669,0.08662709580823923,0.08077108594914892,0.08109631743784476,4,2.0435642803991456,1.854825182460658,1.066928240877587,1.3936021903182123,0.6499620900809475,0.7878969415830568,10–12,1508
6,2000,63.80356631115356,31.629069808382816,64.07392676439088,31.6881133493968,1.5127147788872541,1.0371683884294638,3.0254295577745083,2.0743367768589276,62.11320794506492,65.76428513047952,30.2907276759532,33.02645548182642,95.43263611953637,95.76204011378769,0.5132644899347508,1.0265289798695016,95.13966342689135,96.05501280643273,72.89,73.68,73.27,73.255,0.0625859848703623,0.07246880281664765,0.06765368630883903,0.06777997877417308,0.12850483862237458,0.14328662444285725,0.1364740249002187,0.1370523182678215,4,1.9607188193259546,1.6903583660886454,1.3973856734436012,1.3383421324296165,0.6223766868963452,0.2929726926450371,12–14,2009
7,3000,78.60319288646798,19.40863929239085,79.31175025096942,19.53684684151176,1.4816776060456958,0.7289943557257703,2.9633552120913915,1.4579887114515406,77.42419010196748,80.49075303546992,18.454317141242054,20.491168992660555,98.01183217885884,98.84859709248119,0.8788398924652469,1.7576797849304937,97.91535909462803,98.94507017671198,81.83,83.49,82.66749999999999,82.675,0.05034752715304481,0.0592603523531827,0.055168365140028104,0.05553279052694246,0.2118508591977794,0.23097458880877073,0.2234267730470324,0.22544082209078975,4,1.887560149001942,1.1790027845004971,1.0825297002697063,0.9543221511487943,0.9332379978531549,0.09647308423079437,14–16,3005
