I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.116,3.33,1.1600000000000001,116.00000000000001,2781.2160000000003,0.00077256
0.266,3.85,2.66,266.0,7373.52,0.0020482
0.511,4.55,5.11,511.00000000000006,16740.36,0.0046501
0.764,5.23,7.640000000000001,764.0,28769.184000000005,0.00799144
1.01,5.84,10.1,1010.0,42468.479999999996,0.0117968
1.508,6.96,15.08,1508.0,75568.89600000001,0.02099136
2.009,7.775,20.09,2009.0,112463.81999999999,0.03123995
3.005,9.0,30.049999999999997,3004.9999999999995,194724.0,0.05409
