,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,75.58283135232179,0.0,100.54453456956463,0.0,25.195589699766604,0.0,50.39117939953321,0.0,75.04515521921145,101.08221070267497,0.0,0.0,75.58283135232179,100.54453456956463,25.195589699766604,50.39117939953321,75.04515521921145,101.08221070267497,59.5,63.19,61.9075,62.47,0.0,0.0,0.0,0.0,0.0,0.014740471683978568,0.011004561004358277,0.014638886166727271,4,25.49937935035318,0.5376761331103381,0.0,0.0,25.49937935035318,0.5376761331103381,0–2,116
1,250,91.818816614282,0.0,97.76300465147983,0.0,6.176368218543852,0.0,12.352736437087705,0.0,91.4476916865024,98.13412957925942,0.0,0.0,91.818816614282,97.76300465147983,6.176368218543852,12.352736437087705,91.4476916865024,98.13412957925942,64.63,64.95,64.745,64.69999999999999,0.0,0.0,0.0,0.0,0.02326109658169647,0.031242771104969078,0.029138295645720503,0.031024657448108235,4,6.315312964977437,0.37112492777959005,0.0,0.0,6.315312964977437,0.37112492777959005,2–4,262
2,500,92.19443773614532,0.0,95.305872269727,0.0,3.3722154963908904,0.0,6.744430992781781,0.0,91.7854662591209,95.71484374675143,0.0,0.0,92.19443773614532,95.305872269727,3.3722154963908904,6.744430992781781,91.7854662591209,95.71484374675143,66.24,67.76,66.9225,66.845,0.0,0.0,0.0,0.0,0.04925225354492271,0.05763256480968748,0.055309011688380795,0.05717561419945649,4,3.5204060106061092,0.4089714770244228,0.0,0.0,3.5204060106061092,0.4089714770244228,4–6,511
3,750,89.8734324597915,0.0,94.88932722507153,0.0,4.7278822994101946,0.0,11.580899197491417,0.0,93.22499144133411,95.05786837864056,0.0,0.0,89.8734324597915,94.88932722507153,4.7278822994101946,11.580899197491417,93.22499144133411,95.05786837864056,66.47,68.88,68.05,68.13499999999999,0.0,0.0,0.0,0.0,0.05778938498452414,0.08309827785498432,0.07831667273144265,0.0826875772138495,6,1.664335783737414,0.16854115356903776,0.0,0.0,1.664335783737414,0.16854115356903776,6–8,763
4,1000,94.42360047267914,0.023756743498035793,94.95712204839654,0.022229765899425984,0.8077795815661988,0.0018998699870654498,1.8062500552183565,0.004248238439489992,94.48682658807074,95.6283736879433,0.021572955482431617,0.025936715527589853,94.44735721617718,94.97869500387897,0.808670428343693,1.8082420491703701,94.51678773498558,95.65431040347089,70.1,70.76,70.342,70.35,2.1428636684132826e-05,3.364366372519724e-05,2.6676678690751257e-05,2.4962020670831284e-05,0.1025463757031856,0.10748904044320783,0.10602918076047727,0.10662827733493721,5,0.4702954603258007,0.6712516395467532,0.0006568104169943668,0.003706949628163869,0.46190726889338407,0.6756153995919192,8–10,1010
5,1500,91.95963229729927,0.931705500688864,94.4782291723579,1.0146722200620215,2.627528110734686,0.10847778796377991,5.875331468394354,0.24256370793582036,93.80609382585033,94.94985324632805,1.0097382426477026,1.0553528963048442,92.89133779798813,95.49290139241992,2.7358385211065204,6.117520908656673,94.81583206849803,96.00520614263289,73.98,75.04,74.482,74.36,0.000792780592935895,0.0017065178471805738,0.001474957556349054,0.0016062999060233376,0.12900042928312563,0.15051319816587505,0.1455787847508661,0.1495659067432964,5,0.6721353465075737,0.4716240739701476,0.004933977414318891,0.04068067624282268,0.6770693239218986,0.5123047502129623,10–12,1507
6,2000,91.37313733739407,2.2600169993600465,94.20191770868261,2.492565622855173,2.729057694990656,0.23768385007745088,7.220407974492438,0.6288523579612952,93.38497424083016,94.43356315636728,2.4845716339636317,2.5039316492158408,93.63315433675413,96.68824843119481,2.966014908755748,7.847337833477642,95.87266332496526,96.94883902267247,74.27,79.04,77.75999999999999,78.21,0.001673980599642205,0.0050493775644984435,0.00453505192500073,0.005001694469254367,0.15063319349245474,0.1900408941155881,0.18335345375395087,0.18902981188393345,7,0.8169434678524539,0.2316454476846701,0.00799398889154146,0.011366026360667636,0.8155851062295483,0.2605905914776656,12–14,2009
7,3000,93.49364210898146,4.505180944357478,94.66619861843921,4.4497680220750135,1.3477950026223418,0.13865511947150835,3.812139944014394,0.39217590089813786,93.52756074055259,95.54290144145531,4.218750845647581,4.771018030440344,97.99882305333894,99.2883000641656,1.358313401626558,3.841890469066822,98.51130498261084,99.87618566749931,87.37,88.85,88.09125,88.1,0.010607515246378133,0.013641568946507391,0.012051272893386613,0.011903044385698731,0.22606431954955342,0.25767912649569635,0.25009370517362167,0.25323027141877774,8,1.138637877886623,0.8767028230161031,0.23101717642743225,0.3212500083653307,0.7769950815547588,0.5878856033337172,14–16,3005
