I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.116,3.45,1.1600000000000001,116.00000000000001,2881.4400000000005,0.0008004000000000002
0.262,4.15,2.62,262.0,7828.560000000001,0.0021746000000000005
0.51,5.17,5.1,509.99999999999994,18984.239999999998,0.005273399999999999
0.762,6.0,7.62,762.0,32918.399999999994,0.009143999999999998
1.01,6.68,10.1,1010.0,48576.96,0.0134936
1.508,7.94,15.08,1508.0,86209.34400000001,0.023947040000000003
2.009,8.92,20.09,2009.0,129026.01599999999,0.035840559999999994
3.003,11.04,30.03,3003.0,238702.464,0.06630624
