I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.099,3.27,0.99,99.0,2330.856,0.0006474600000000001
0.254,4.24,2.54,254.0,7754.112,0.00215392
0.501,5.575,5.01,501.0,20110.14,0.00558615
0.745,6.65,7.45,745.0,35670.6,0.009908499999999999
0.995,7.59,9.95,994.9999999999999,54374.76,0.0151041
1.495,9.2,14.950000000000001,1495.0,99028.79999999999,0.027507999999999998
1.985,10.66,19.85,1985.0000000000002,152352.72,0.0423202
2.988,13.41,29.88,2988.0,288497.376,0.08013816
