,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,43.21295808395002,53.96692719225524,43.21295808395002,53.96692719225524,0.0,0.0,0.0,0.0,43.21295808395002,43.21295808395002,53.96692719225524,53.96692719225524,97.17988527620525,97.17988527620525,0.0,0.0,97.17988527620525,97.17988527620525,57.95,57.95,57.95,57.95,0.007796258171439405,0.007796258171439405,0.007796258171439405,0.007796258171439405,0.006242700763263246,0.006242700763263246,0.006242700763263246,0.006242700763263246,1,0.0,0.0,0.0,0.0,0.0,0.0,0–2,107
1,250,16.955934331072953,72.62981243552402,16.93051591320114,72.3603092421575,0.3998728473470384,0.35299056700022396,0.7997456946940767,0.7059811340004479,16.493197586574663,17.39325265769943,72.23515705861809,72.75496461906343,89.58574676659697,89.60282987434258,0.20020213554907465,0.4004042710981493,89.39015780996489,89.79841883097464,58.21,58.63,58.415,58.41,0.02520864051122187,0.025747513626304546,0.025383886566813577,0.02528969606486394,0.005607999873591542,0.006261856800289373,0.005926044681395583,0.005917161025850709,4,0.4373183266264782,0.46273674449829016,0.12515218353941293,0.39465537690593067,0.21267206437768493,0.195588956632065,2–4,261
2,500,18.543188011343,67.99265194060473,18.78695943673275,68.51790262295275,0.5485508580832162,0.7167363271628087,1.0971017161664325,1.4334726543256173,18.149807693998568,19.18033975407718,67.8306945697179,68.67985999383956,86.53583995194772,87.56542090968009,1.233283827051203,2.466567654102406,86.03449576787102,88.06676509375679,58.73,59.47,59.0925,59.085,0.04475481706827745,0.046915677022296036,0.0461920859680425,0.04654892489079826,0.011568057543618318,0.013296047620033193,0.012597663281170037,0.012763273980514318,4,0.6371517427341828,0.39338031734443035,0.6872080532348406,0.16195737088681028,1.530925141809064,0.5013441840767001,4–6,513
3,750,30.34101327734041,60.01694562812174,30.279858068293677,60.118224790993395,0.5084272435561804,0.21405436910969555,1.0168544871123608,0.4281087382193911,29.75125041921568,30.869620926418406,59.83593312880551,60.29923729030963,90.35795890546214,90.46378908613133,0.3273395517161516,0.6546791034323032,90.11619393636957,90.70555405522391,60.53,61.7,61.065,61.015,0.0577351745344716,0.05867188033985918,0.05830191246536886,0.05840029749357233,0.028374845978763035,0.03069195748149863,0.02947399408105225,0.029414586431973665,4,0.5286076490779976,0.589762858124729,0.2822916621878875,0.18101249931623187,0.34759514976175865,0.2417649690925856,6–8,758
4,1000,43.69157783192781,50.197698706872636,43.81409059204442,50.39716880613461,1.281073510176864,0.7122411601839764,2.562147020353728,1.4244823203679529,42.20367083522193,45.3019975887503,49.31826961302221,51.276597899985035,93.88927653880046,94.21125939817904,0.6173836652851425,1.234767330570285,93.48026873520696,94.62026720177252,63.82,64.29,63.9975,63.94,0.05913786163959963,0.06286185629616557,0.06124322054812542,0.06148658212836823,0.049570318320925795,0.05674172107554316,0.053305490215430795,0.05345496073262711,4,1.6104197568224947,1.487906996705874,1.0788991931123988,0.8794290938504261,0.7309906629720757,0.4090078035934823,8–10,1003
5,1500,60.387565713716555,36.52414485633916,60.654620071905654,36.423554890270665,0.8634323792057467,0.3555511955629727,1.7268647584114933,0.7111023911259454,59.60255370497789,61.439632080644316,36.162593004877465,36.785106741732356,96.91171057005572,97.07817496217632,0.5119066262330565,1.023813252466113,96.38766044671026,97.60222508552178,68.58,69.42,69.1375,69.275,0.06080949125771964,0.0636957292721142,0.06208163324666444,0.061910656228411964,0.09878098689918491,0.10559776317183756,0.10264329861913599,0.10309722220276073,4,1.052066366927761,0.7850120087386614,0.26096188539320053,0.3615518514616909,0.690514515466063,0.5240501233454609,10–12,1503
6,2000,70.3400980960712,28.17429668138231,70.61617172774785,28.310718551651668,0.7936222820748204,0.2583078664785581,1.5872445641496409,0.5166157329571162,69.72460335325603,71.23166647056303,28.02420816909335,28.460807063940628,98.5143947774535,98.92689027939952,0.5827476675791439,1.1654953351582877,98.18541041719666,99.25587463965637,73.54,74.29,73.95,73.985,0.05804481622174172,0.06056368445646722,0.05959280276330519,0.05988135518750591,0.1442500220486247,0.1521415179374731,0.1487797065387135,0.1493636430843781,4,0.8915683744918255,0.6154947428151729,0.28651038255831907,0.15008851228895992,0.7414798622028513,0.32898436025685385,12–14,1999
7,3000,81.33244982324729,19.31884141575398,81.33244982324729,19.31884141575398,0.550312851387531,0.036227225118225626,0.7782598979804559,0.05123303308933793,81.05729339755352,81.60760624894105,19.300727803194867,19.336955028313096,100.65129123900127,100.65129123900127,0.5140856262693063,0.7270268648911192,100.3942484258666,100.90833405213593,83.56,83.95,83.755,83.755,0.05381970801221693,0.054021935641591225,0.05392082182690408,0.05392082182690408,0.22547103735238203,0.22854299395372607,0.22700701565305403,0.22700701565305403,2,0.2751564256937655,0.2751564256937655,0.01811361255911237,0.01811361255911592,0.25704281313466026,0.25704281313466026,14–16,2998
