I ctul,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.099,3.45,0.99,99.0,2459.1600000000003,0.0006831000000000001
0.255,4.32,2.55,254.99999999999997,7931.52,0.0022032
0.502,5.47,5.02,501.99999999999994,19770.768,0.00549188
0.745,6.39,7.45,745.0,34275.96,0.0095211
1.0,7.04,10.0,1000.0,50688.0,0.01408
1.495,8.59,14.950000000000001,1495.0,92462.76,0.025684099999999998
1.986,10.01,19.86,1986.0,143134.992,0.03975972
2.987,12.09,29.87,2987.0,260012.37600000002,0.07222566000000001
