,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,73.04568920106354,0.0,93.34593757698082,0.0,15.966087015154404,0.0,39.1087663760044,0.0,65.43806900922131,95.99599587673568,0.0,0.0,73.04568920106354,93.34593757698082,15.966087015154404,39.1087663760044,65.43806900922131,95.99599587673568,0.0,58.36,46.42666666666667,54.89,0.0,0.0,0.0,0.0,0.0,0.017671584756214827,0.013095934692474978,0.016735447576531157,6,27.907868567759508,2.6500582997548605,0.0,0.0,27.907868567759508,2.6500582997548605,0–2,124
1,250,93.47879942333012,0.0,93.97115784678519,0.0,0.6843845813189954,0.0,1.3687691626379908,0.0,93.16372418353542,94.28623308657987,0.0,0.0,93.47879942333012,93.97115784678519,0.6843845813189954,1.3687691626379908,93.16372418353542,94.28623308657987,60.13,61.38,60.645,60.535,0.0,0.0,0.0,0.0,0.03208027152227997,0.03313570049597885,0.03278064361824816,0.0329533012273669,4,0.8074336632497676,0.31507523979468033,0.0,0.0,0.8074336632497676,0.31507523979468033,2–4,270
2,500,92.79763330982053,0.0,93.55491187143777,0.0,0.8302728671981607,0.0,1.4380747901331015,0.0,92.34703967737012,93.62686622307956,0.0,0.0,92.79763330982053,93.55491187143777,0.8302728671981607,1.4380747901331015,92.34703967737012,93.62686622307956,63.48,64.19,63.94,64.15,0.0,0.0,0.0,0.0,0.05778666437422232,0.05940960891269818,0.05883821236110374,0.05931836379639073,3,1.2078721940676473,0.07195435164179287,0.0,0.0,1.2078721940676473,0.07195435164179287,4–6,517
3,750,87.93594077640766,1.1877761859568063,91.85003755769644,1.4005962793918167,4.273078659946174,0.30380479430295354,9.554894356843352,0.679328171951745,90.95586375793843,92.2717437722723,1.298782432355009,1.5733003518369073,89.12371696236447,93.51623942389674,4.230903402955231,9.46058761524308,92.35646003733025,93.66853343553086,66.53,67.67,67.194,67.21,0.0,0.0015247379923975122,0.0011421996209906033,0.0014194191161273156,0.05939040539355722,0.08327417922710798,0.07816749145418891,0.08286637638781962,5,0.8941737997580077,0.4217062145758632,0.10181384703680774,0.17270407244509056,1.159779386566484,0.15229401163412604,6–8,771
4,1000,80.14072949101697,13.747350116771253,80.19952831769737,13.758280690001985,0.5635196277517902,0.2900391349000454,1.1270392555035804,0.5800782698000908,79.75546112360986,80.58479668510446,13.258717641878476,14.246913164894764,93.88807960778823,94.44887359972961,0.658599833988838,1.317199667977676,93.7434793021213,94.59347390539654,67.69,68.63,68.1325,68.10499999999999,0.015518339493892192,0.016734084369850022,0.016139044150623373,0.01615187636937564,0.09240046651117553,0.09562788857991245,0.094083205892952,0.09415223424036001,4,0.44406719408750917,0.38526836740709314,0.49956304812350893,0.4886324748927784,0.7053942976083079,0.14460030566692694,8–10,1020
5,1500,68.14793747208931,23.586037201977106,68.39083524099212,23.828212430150217,1.31737913735098,0.6738671827453487,2.63475827470196,1.3477343654906975,66.89952933321972,69.63924337986172,22.90012562890641,24.514124003220914,91.73397467406642,92.21904767114233,0.7162523183478763,1.4325046366957526,91.41365333644063,92.53936900876813,69.75,70.59,70.235,70.3,0.037301956029482074,0.04246040562618715,0.04029491845520888,0.04070865608258314,0.11069759999517922,0.12132340583179847,0.11642547494575844,0.11684044697802803,4,1.4913059077724,1.2484081388696069,0.9280868012438077,0.6859115730706975,0.8053943347017025,0.3203213376257992,10–12,1515
6,2000,72.37796347868644,19.97759956289572,72.60476651345623,20.16987900484534,1.1566602790521059,0.823006480903398,2.3133205581042118,1.646012961806796,71.31296966481341,73.66976032732924,19.10573803890216,21.0417405288389,92.35556304158216,92.77464551830155,0.4238278880173112,0.8476557760346224,92.34932137219542,92.78088718768831,72.93,74.1,73.515,73.515,0.03869460833318393,0.04684149952098318,0.04318368619848992,0.04359931846989628,0.15004643625790054,0.16187823333592444,0.15645259345143847,0.15694285210596443,4,1.291796848642818,1.0649938138730164,1.064140965943178,0.8718615239935623,0.425324146106135,0.006241669386753301,12–14,2020
7,3000,78.83985764434345,14.906534881086918,79.1910086325065,14.86580086434428,1.1712383739376977,0.747356714408205,2.3424767478753954,1.49471342881641,77.83315825296923,80.19770802388071,14.146659001683947,15.625676743747253,93.74639252543037,94.05680949685078,0.4447516744932444,0.8895033489864888,93.45883499671649,94.34436702556465,81.28,82.53,82.03999999999999,82.175,0.03800638632830951,0.048332316249761836,0.043051706982895455,0.04293406267675523,0.21874941046323707,0.23461856906842554,0.22769815231733956,0.2287123148688478,4,1.3578503795372683,1.0066993913742124,0.719141862660333,0.7598758794029727,0.5979745001342849,0.28755752871387585,14–16,3016
