U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.14V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;13.05.2024 16:24:32.089
40.00V;3.11V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:37.084
40.00V;3.28V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:42.085
40.00V;3.37V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:47.084
40.00V;3.45V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:52.095
40.00V;3.50V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:24:57.105
40.00V;3.43V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:02.105
40.00V;3.46V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:07.106
40.00V;3.48V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:12.103
40.00V;3.45V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:17.099
40.00V;3.45V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:22.097
40.00V;3.47V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:27.098
40.00V;3.42V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:32.097
40.00V;3.46V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:37.107
40.00V;3.45V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:42.107
40.00V;3.45V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:47.101
40.00V;3.45V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:52.102
40.00V;3.50V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:25:57.106
40.00V;3.41V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:02.106
40.00V;3.49V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:07.095
40.00V;3.47V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:12.096
40.00V;3.50V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:17.105
40.00V;3.44V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:22.098
40.00V;3.44V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:27.099
40.00V;3.52V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:32.096
40.00V;3.45V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:37.103
40.00V;3.48V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:42.102
40.00V;3.47V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;13.05.2024 16:26:47.096
