U set;U ctul;I set;I ctul;P set;P ctul;R set;R ctul;R mode;Output/Input;Deice mode;Error;Time
0;0.79;0;0;320.00W;0.00W;N/;N/;N/;On;C;None;25-04-24 13:33
40;3.33;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.37;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.39;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.39;0.1;0.101;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.38;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.37;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.39;0.1;0.098;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.39;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:33
40;3.36;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.37;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.39;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.35;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.3;0.1;0.1;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.33;0.1;0.107;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.35;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.31;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.36;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.36;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.32;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.34;0.1;0.1;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:34
40;3.39;0.1;0.1;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:35
40;3.43;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:35
40;3.34;0.1;0.099;320.00W;0.00W;N/;N/;N/;On;CC;None;25-04-24 13:35
