Current [A],V,EC_kWh,FE_CO,FE_H2,FE_total,FE_O2,O2_vol,N2_vol,XO_CO,J
0.102,2.19,7.445999999999997e-05,0.0,0.3207055456414631,0.3207055456414631,0.0,52.760860806691156,39.73877083148005,0.0,102
0.255,2.55,0.00021674999999999998,0.0,1.384618662635015,1.384618662635015,14.255333853629867,53.454498053451665,38.867312900740025,1.021877684382998,255
0.501,3.03,0.00050601,0.0,44.86142713940146,44.86142713940146,16.9099369681629,56.922595035746404,34.597976005673324,1.2564638258384886,501
1.001,3.59,0.0011978633333333333,2.9676967563538215,42.55747267820853,45.52516943456236,18.119448833640643,58.75520007876335,32.367818613185236,1.3653576095802578,1001
1.505,3.95,0.0019815833333333335,16.726796443272615,38.94127059890535,55.66806704217797,22.902752285287555,58.05817983654799,33.148777690089304,1.7526162648639487,1505
2.007,4.24,0.0028365600000000006,29.018345974497368,41.53115584075434,70.5495018152517,24.05797357999471,54.61320807996823,37.242731663841084,1.787776000279676,2007
2.505,4.46,0.0037241,29.676151294350394,44.23470393075514,73.91085522510554,24.0649687324034,51.38242657451427,41.05199766191989,1.7428582598071811,2505
3.004,4.72,0.0047262933333333335,29.410782487802216,60.531574700805976,89.94235718860818,24.853500761555885,52.88078740985461,39.22776896072822,1.8297254235834246,3004
