I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.122,2.43,1.22,122.0,2134.512,0.00059292
0.271,2.82,2.71,271.0,5502.384,0.00152844
0.519,3.4,5.19,519.0000000000001,12705.12,0.0035292
0.769,3.83,7.69,769.0,21205.944,0.00589054
1.022,4.34,10.22,1022.0000000000001,31935.456000000002,0.00887096
1.514,5.22,15.14,1514.0,56902.17599999999,0.015806159999999996
2.016,6.22,20.16,2016.0,90284.544,0.025079039999999997
3.013,8.05,30.13,3013.0,174633.48,0.048509300000000005
