I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.101,2.66,1.01,101.0,1934.3520000000003,0.0005373200000000001
0.255,3.55,2.55,254.99999999999997,6517.799999999999,0.0018104999999999998
0.502,4.445,5.02,501.99999999999994,16066.008000000002,0.00446278
0.745,5.21,7.45,745.0,27946.44,0.0077629
0.998,5.78,9.98,998.0,41532.768000000004,0.011536880000000001
1.495,6.71,14.950000000000001,1495.0,72226.44,0.0200629
1.99,7.49,19.9,1989.9999999999998,107316.72,0.029810200000000002
2.989,8.88,29.89,2989.0,191104.704,0.05308464
