,Time (UTC),Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,Current [A],Voltage
0,2026-04-02 14:20:00,0.0,0.0,0.0,0.0,0.102,2.19
1,2026-04-02 14:40:00,0.0,2.206506,0.35152605263157904,0.255653,0.255,2.55
2,2026-04-02 15:00:00,0.545595,1.207793,0.6474637500000002,0.564703,0.501,3.03
3,2026-04-02 15:20:00,1.140872,2.529292,1.3394370000000002,1.1835375,1.001,3.59
4,2026-04-02 15:40:00,2.157447,3.464899,2.4282006000000003,2.2951699999999997,1.505,3.95
5,2026-04-02 16:00:00,3.189331,4.941414,3.587019599999999,3.425621,2.007,4.24
6,2026-04-02 16:20:00,4.252924,5.689627,4.66463461904762,4.543821,2.505,4.46
7,2026-04-02 16:40:00,5.30972,6.790139,5.6927131499999994,5.526358500000001,3.004,4.72
