Current [A],FE_O2,FE_O2_q25,FE_O2_q75,O2_vol,N2_vol,CO_vol,H2_vol,XO_CO,XO_H2,normalisation,Q_dry,V,O2_purity,O2_purity_q25,O2_purity_q75,n,FE_O2_err_low,FE_O2_err_high,EC_kWh
0.0985,0.0,0.0,0.0,52.760860806691156,39.73877083148005,7.486944143801331,0.013424218027464392,0.0,0.0,1.0259610219735058,0.0,2.25,52.760860806691156,52.75518734392817,52.766534269454134,2,0.0,0.0,7.387499999999999e-05
0.251,14.482510488747474,14.409426663071223,14.616904177458618,53.454498053451665,38.867312900740025,7.6636519707755095,0.014537075032793376,1.0381625877197789,0.0019692762003640637,1.0252537429429882,0.2492216956960903,2.57,53.454498053451665,53.15631892539553,53.982261644255416,3,0.07308382567625138,0.13439368871114432,0.00021502333333333333
0.497,17.046033040341275,16.858118562496177,17.09505622478296,56.922595035746404,34.597976005673324,8.45907133420131,0.02035762437895049,1.2665762107546936,0.003048145798417364,1.0158366284437226,0.5504971161092155,3.09,56.922595035746404,56.22580516143049,57.18204932203773,3,0.18791447784509785,0.04902318444168685,0.00051191
1.001,18.119448833640643,18.10321084692236,18.135686820358927,58.75520007876335,32.367818613185236,8.854738554099383,0.02224275395202696,1.3653576095802578,0.0034297009940231693,1.0053096487415698,1.153763979573529,3.605,58.75520007876335,58.69635262675524,58.81404753077147,2,0.016237986718284247,0.016237986718284247,0.001202868333333333
1.499,22.994424409177963,22.73390418412831,23.227534915765762,58.05817983654799,33.148777690089304,8.882929357931573,0.02226041030214796,1.7596314066846181,0.0044030816626171865,0.997284097449463,2.237431828731896,3.94,58.05817983654799,57.51275293452681,58.457858445418964,4,0.2605202250496532,0.2331105065877992,0.0019686866666666666
2.002,24.118058429095598,24.026461591569767,24.209655266621425,54.61320807996823,37.242731663841084,8.116758559476528,0.027301696714152134,1.7922409753053499,0.006028381320619733,0.9947587500605262,3.339444772532051,4.2,54.61320807996823,54.41077145898342,54.81564470095305,2,0.09159683752583092,0.09159683752582737,0.0028028
2.499,24.122747768975795,23.92128689942445,24.289026129513935,51.38242657451427,41.05199766191989,7.440570277782002,0.0464580800378187,1.747042793444173,0.010905445901411133,0.9954542311786236,4.429514907157376,4.45,51.38242657451427,50.935082290382205,51.729701354865654,3,0.2014608695513438,0.16627836053813994,0.0037068500000000002
3.001,24.87834598057777,24.57579257375785,26.430835532884593,52.88078740985461,39.22776896072822,7.786212660438429,0.10523096897874454,1.8315545393017687,0.024753531314066435,0.9846898702286772,5.387335319337156,4.68,52.88078740985461,52.07069362041859,56.753733134052915,5,0.3025534068199178,1.5524895523068238,0.004681559999999999
