Time,H2,O2,N2,CH4,CO,t,Current [A],Voltage,Flow_rate_median_dry,Flow_rate_mean_dry,c_H2,c_CO,c_O2,c_N2,normalisation,O2_vol%,N2_vol%,CO_vol%,H2_vol%,O2_purity,FE_O2,XO_CO,XO_H2
14:31:44,63052,30455852,18143959,192.0,3495275,2026-04-02 14:31:44,0.102,2.19,0.0,0.0,0.00013872835419701104,0.0770921349275,0.5413740883964,0.4072647469017,1.025869698579797,52.77220773221711,39.69946158518113,7.514807683102983,0.013522999498773097,52.77220773221711,0.0,0.0,0.0
14:35:13,62142,30448175,18183127,138.0,3469973,2026-04-02 14:35:13,0.102,2.19,0.0,0.0,0.00013672595431485563,0.07653407148529999,0.5412376243475,0.40814392358010004,1.0260523453672148,52.74951388116519,39.77808007777898,7.45908060449968,0.013325436556155687,52.74951388116519,0.0,0.0,0.0
14:45:45,65292,30519923,18103619,238.0,3506543,2026-04-02 14:45:45,0.255,2.55,0.2492216956960903,0.3426829292759921,0.00014365736328887663,0.0773406630623,0.5425129952711,0.40635926315970006,1.0263565788563889,52.8581397973394,39.59240594652623,7.5354574283019975,0.013996827832384132,52.8581397973394,14.111459028180928,1.005864935521602,0.0018683561627260775
14:49:14,67739,30831092,17752974,81.0,3562365,2026-04-02 14:49:14,0.255,2.55,0.2492216956960903,0.3426829292759921,0.0001490419058881447,0.07857187867649999,0.5480442420644,0.39848858029620005,1.0252537429429882,53.454498053451665,38.867312900740025,7.6636519707755095,0.014537075032793376,53.454498053451665,14.255333853629867,1.021877684382998,0.0019383855932995292
14:59:46,76980,31403300,17093417,159.0,3717408,2026-04-02 14:59:46,0.255,2.55,0.2492216956960903,0.3426829292759921,0.00016937679998060398,0.08199152258879999,0.55821563981,0.3836839660071,1.0240605052058807,54.51002523505917,37.46692349295932,8.00651154614308,0.016539725838421226,54.51002523505917,14.519904958465135,1.066352347091562,0.002202853935375596
15:03:14,84065,31812620,16445734,296.0,3788019,2026-04-02 15:03:14,0.501,3.03,0.5504971161092155,0.631175905139973,0.00018496780490402973,0.08354892586589999,0.565491589334,0.36914587908420005,1.018371362089004,55.52901528711458,36.248650818986526,8.204170794288101,0.01816309961079442,55.52901528711458,16.537108642857458,1.2216429829360151,0.0027045784082582913
15:13:52,93986,32529834,15657766,0.0,3895990,2026-04-02 15:13:52,0.501,3.03,0.5504971161092155,0.631175905139973,0.00020680020512236797,0.085930345039,0.5782405702338,0.35145891296580006,1.0158366284437226,56.922595035746404,34.597976005673324,8.45907133420131,0.02035762437895049,56.922595035746404,16.9099369681629,1.2564638258384886,0.0030238093050168257
15:17:21,95936,32716941,15269942,0.0,3986141,2026-04-02 15:17:21,0.501,3.03,0.5504971161092155,0.631175905139973,0.00021109150504349693,0.08791872451010001,0.5815665281337,0.3427536991146,1.0124500432634436,57.44150360832906,33.85388754686577,8.683759272379547,0.020849572425626347,57.44150360832906,17.00720053170589,1.2855376864908943,0.003086556209085174
15:27:51,102889,33288710,14519235,292.0,3955282,2026-04-02 15:27:51,1.001,3.59,1.153763979573529,1.3057416123342347,0.0002263929573735867,0.08723809532020001,0.591730122347,0.3259031045805,1.0050977152050735,58.872894982779584,32.42501695608818,8.679563588740276,0.02252447239195992,58.872894982779584,18.151924807077208,1.3380587591891184,0.003472417394265526
15:31:19,100358,33169595,14474112,0.0,4116672,2026-04-02 15:31:19,1.001,3.59,1.153763979573529,1.3057416123342347,0.0002208229517658556,0.09079772929919999,0.5896127698415,0.3248902601856,1.0055215822780659,58.637505174747126,32.3106202702823,9.02991351945849,0.021961035512094006,58.637505174747126,18.086972860204078,1.3926564599713969,0.0033869845937808123
15:41:56,101575,33068729,14445466,172.0,4143035,2026-04-02 15:41:56,1.505,3.95,2.237431828731896,2.3671158602569258,0.00022350121435699372,0.0913791942635,0.5878198060852999,0.32424726347579996,1.003669765038957,58.567053283953804,32.306170293295075,9.1045080211172,0.022268401633909796,58.567053283953804,23.258067917881302,1.8077848725578196,0.004421598565946911
15:45:25,99008,32835296,14480226,0.0,4087428,2026-04-02 15:45:25,1.505,3.95,2.237431828731896,2.3671158602569258,0.00021785200707006463,0.0901527207108,0.5836703711072,0.3250274968638,0.9990684406888701,58.421460165907355,32.533056157763276,9.02367816249291,0.021805513836454783,58.421460165907355,23.09388862425696,1.7835211399539859,0.004309838426698966
15:55:58,100817,32291774,14965690,109.0,3842427,2026-04-02 15:55:58,1.505,3.95,2.237431828731896,2.3671158602569258,0.00022183307587688637,0.0847489541547,0.5740088870918,0.33592436744700005,0.994904041769377,57.69489950718862,33.76449922241533,8.518304338575113,0.02229693182091909,57.69489950718862,22.711615946318155,1.6766166359945607,0.0043885972297677605
15:59:26,100676,31903076,15198511,252.0,3945774,2026-04-02 15:59:26,1.505,3.95,2.237431828731896,2.3671158602569258,0.00022152277615598574,0.0870283859214,0.5670995080532,0.3411503374593,0.995499754210056,56.96631321654137,34.269253811118006,8.742180553370234,0.022252418970386125,56.96631321654137,22.43823487734678,1.7217113897739116,0.004382458467591927
16:09:58,118777,30794676,16342487,208.0,3647671,2026-04-02 16:09:58,2.007,4.24,3.339444772532051,3.496783167837308,0.00026135891899480875,0.0804533963431,0.5473969221732,0.3668283659481,0.9949400433833948,55.01808132193786,36.869394129586226,8.08625573753269,0.02626881094322339,55.01808132193786,24.240710868212656,1.781383343713552,0.005786957992958142
16:13:27,128069,30330388,16667377,117.0,3673851,2026-04-02 16:13:27,2.007,4.24,3.339444772532051,3.496783167837308,0.00028180936985735107,0.0810308250411,0.5391438779716,0.3741209443551,0.9945774567376574,54.208334837998606,37.61606919809595,8.147261381420366,0.028334582485080875,54.208334837998606,23.87523629177676,1.7941686568458002,0.006239767870400806
