,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,area_CO2_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,78.89201930480043,0.23657164717275256,94.44224081522435,0.24773504940809477,100.39700359422274,15.780326938444968,0.05179289210394505,38.653748973486024,0.12686615795768924,94.02473016068646,94.75867552590312,0.2340002283901145,0.3154690681559863,79.12859095197318,94.73810629794184,15.827840703518563,38.7701334536748,94.28760716431682,94.99713738550945,58.19,60.21,59.675000000000004,59.915,0.0,4.617164074765027e-05,3.0640068355629884e-05,3.208591958784667e-05,0.0,0.012397105324393276,0.010217863776581794,0.01223188302072498,6,0.4175106545378924,0.31643471067876305,0.013734821017980264,0.06773401874789153,0.4504991336250157,0.25903108756760673,0–2,99
1,250,91.1372000047189,0.08433579559399797,98.34696827683408,0.0849364973412021,98.76945937433703,7.279984951708734,0.0032840854671386905,16.278541227196254,0.0073434383484412636,97.89655808421949,98.68255476484912,0.07712517375222572,0.08929865668309389,91.2215358003129,98.4240934505863,7.277748515717985,16.27354040429361,97.9734299475425,98.77185342153221,61.59,62.33,61.964,61.9,2.4595872586100463e-05,2.989917460161654e-05,2.6984027616987488e-05,2.7176227766662514e-05,0.019844973958693012,0.031591667632065994,0.029160200654314666,0.03146703353348041,5,0.4504101926145836,0.3355864880150392,0.007811323588976377,0.004362159341891797,0.4506635030437991,0.3477599709459156,2–4,252
2,500,91.34843794829453,0.03388167453430466,93.84895282436827,0.03439056606552848,96.30306869967404,2.7602353902096413,0.0025056636331122857,6.761168275985638,0.006137597368173376,93.63538735018801,94.45359679486197,0.03392162925167912,0.035483188010491766,91.38231962282885,93.88418724663678,2.760194814399912,6.761068885955903,93.66954728512394,94.49059880225046,63.66,64.34,63.915,63.89,1.4069736174948628e-05,2.569755933457457e-05,2.0762117135903925e-05,2.1073957259686503e-05,0.047536608448788036,0.05796832597668918,0.05597677785801519,0.057509051084491905,6,0.21356547418025684,0.6046439704936972,0.00046893681384936603,0.0010926219449632832,0.21463996151284448,0.6064115556136755,4–6,499
3,750,88.16640833056354,0.02090016795575026,93.85855543142937,0.014945211218954623,93.68635465920951,5.630736945269208,0.004322947610289962,12.590710573041463,0.009666404719778626,93.26228149406819,93.89688666171051,0.014131192755395004,0.030703039288138716,88.18730849851929,93.87111525212632,5.6282046046296825,12.585048087229298,93.2944430698875,93.91101785446591,65.73,66.04,65.946,66.01,1.112799632608774e-05,2.8495143855458444e-05,1.851754080236296e-05,1.3241451414785552e-05,0.05816690707976192,0.08342851750473418,0.07811540400611086,0.08315864415693153,5,0.5962739373611754,0.03833123028114471,0.0008140184635596192,0.01575782806918409,0.5766721822388092,0.03990260233959475,6–8,744
4,1000,90.42472524420809,0.0089037656161292,93.1237972557651,0.008794119112813942,91.22730978274288,2.7958094905995843,0.0009689188723540818,6.848306669999544,0.0023733568394203666,92.67742222095166,93.50907972639403,0.00731993637082871,0.010541016737607076,90.43362900982423,93.13215080174001,2.795712474314627,6.848069029604658,92.68627616605166,93.51580606627607,67.25,68.69,67.99166666666666,68.04499999999999,6.651129092814367e-06,1.3881171581938358e-05,1.0223113061922653e-05,1.0097219294210956e-05,0.08780094579354515,0.10754398159550234,0.10382373364481168,0.10692275034471602,6,0.44637503481344254,0.38528247062893684,0.001474182741985232,0.0017468976247931346,0.44587463568835517,0.3836552645360598,8–10,993
5,1500,92.60967027819636,0.047368675401847346,92.91470383864112,0.04257502510119419,86.74478205798894,0.4564153525882175,0.003928271079211915,1.2075615175002838,0.01039322835804204,92.19430622681654,93.41041610311498,0.04119811378066798,0.0540687801231078,92.6570389535982,92.9566909617235,0.45953650555501624,1.2158193120542247,92.23579829160661,93.46481484842172,71.6,73.0,72.24714285714286,72.01,5.8766780734049296e-05,0.000100947348576262,7.682847191252528e-05,6.905352730286797e-05,0.1464469933949875,0.15222015183792884,0.15020600410369833,0.15070074587412358,7,0.7203976118245805,0.49571226447386607,0.0013769113205262043,0.011493755021913611,0.7208926701168821,0.5081238866982289,10–12,1491
6,2000,89.00486479084648,3.6719281855261827,89.65093201417122,3.627057214247145,82.44024828204385,0.6266697591574377,0.09779792268132992,1.6580123368953221,0.2587489821535221,88.64570950516708,90.06122155963061,3.533457299938417,3.7742237049231164,92.67679297637267,93.27798922841836,0.5912422680813687,1.5642800059330833,92.64411444508019,93.59467885956903,74.71,76.05,75.31714285714285,75.2,0.0069188169849379085,0.00854769280050782,0.007611756993318793,0.007518741304510795,0.1774615828543129,0.18731549695544772,0.18450344554166082,0.1858427164796602,7,1.0052225090041418,0.410289545459392,0.09359991430872805,0.14716649067597132,0.6338747833381717,0.3166896311506662,12–14,1982
7,3000,77.46262206216193,12.848016983616109,78.44505370180572,13.24310322550938,74.88633240826528,0.9775305253884244,0.5591047882725269,2.764873853276014,1.5813871487254905,77.06097850688361,79.09516230742705,12.829189197074513,13.665763189079817,90.31063904577803,91.91323960030772,1.443819047550757,4.08373695731777,91.02952013455368,92.1617681450528,79.53,80.66,80.07375,80.015,0.02680785259468939,0.041443094454117674,0.03772992761083599,0.03889015142791838,0.20910748998150525,0.23380834484958632,0.22747939442156048,0.23036443689104225,8,1.3840751949221044,0.6501086056213268,0.413914028434867,0.4226599635704371,0.8837194657540408,0.2485285447450849,14–16,2984
