I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.099,2.45,0.99,99.0,1746.3600000000004,0.0004851000000000001
0.254,2.86,2.54,254.0,5230.3679999999995,0.00145288
0.498,3.46,4.98,498.00000000000006,12406.176,0.0034461599999999998
0.744,3.96,7.4399999999999995,744.0,21212.928,0.00589248
0.994,4.44,9.94,994.0,31776.192000000003,0.008826720000000001
1.492,5.46,14.92,1492.0,58653.504,0.01629264
1.983,6.28,19.830000000000002,1983.0000000000002,89663.32800000001,0.02490648
2.984,7.12,29.84,2984.0,152971.77599999998,0.042492159999999994
