I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.102,2.19,1.02,102.0,268.056,7.446e-05
0.255,2.55,2.55,254.99999999999997,780.3,0.00021674999999999998
0.501,3.03,5.01,501.0,1821.636,0.00050601
1.001,3.59,10.009999999999998,1000.9999999999998,4312.307999999999,0.0011978633333333331
1.505,3.95,15.049999999999999,1505.0,7133.7,0.0019815833333333335
2.007,4.24,20.07,2007.0,10211.616000000002,0.0028365600000000006
2.505,4.46,25.049999999999997,2504.9999999999995,13406.76,0.0037241
3.004,4.72,30.04,3004.0,17014.656,0.0047262933333333335
