,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,81.63072933100003,0.34303460928532625,97.38988927149353,0.38838109686642336,16.333199390668533,0.083005363065159,40.008004374275025,0.20332078542410065,96.64702308312494,98.5411228747674,0.28608124409016633,0.410044550398179,81.97376394028535,97.88344293500936,16.400927044568068,40.1739025678047,97.12508224761214,98.83785242477565,67.7,70.4,69.08333333333333,69.4,0.0,8.750464770328096e-05,4.9031685379620264e-05,5.551329001064989e-05,0.0,0.014247817562515934,0.0116678962691411,0.01392043333430552,6,0.7428661883685947,1.151233603273866,0.10229985277625703,0.02166345353175564,0.7583606873972144,0.9544094897662916,0–2,99
1,250,94.75503224357401,0.12436398661235917,94.86726410080199,0.11872789428492944,0.11330209118963222,0.004701908275752651,0.2533511778928977,0.010513786528551755,94.6676177250249,94.88683297611433,0.11806206686849859,0.12886251229934373,94.87939623018636,95.00556087039926,0.11385794050970466,0.25459409475782663,94.79648023732425,95.00805155815598,67.9,69.4,68.66,68.7,3.9342435624583725e-05,4.8005905438060694e-05,4.240580726024352e-05,4.048400456278826e-05,0.03217333724375498,0.032392667525818264,0.032309704310008326,0.032347973286708985,5,0.19964637577709254,0.019568875312344858,0.0006658274164308559,0.010134618014414287,0.20908063307501834,0.002490687756719012,2–4,254
2,500,91.58165983047505,0.07342098458553928,92.23976243970431,0.0693982482823713,0.6390206912863032,0.007642153293499912,1.4288937047450816,0.017088374258739707,92.01067811264227,92.25597763985894,0.06000857186961669,0.08340792391166178,91.65508081506059,92.30916068798668,0.6429700150260999,1.4377246610924204,92.06727450325805,92.3393855637706,68.9,70.5,69.8,69.7,3.595884854060677e-05,6.207032103559182e-05,4.664845294352343e-05,4.4092583852393126e-05,0.056569572961973444,0.05868517546731669,0.058186944416611805,0.05860507376712296,5,0.22908432706203996,0.01621520015463318,0.009389676412754615,0.01400967562929048,0.241886184728628,0.030224875783929406,4–6,498
3,750,90.6009054001186,0.04728526677776915,90.91225425927468,0.04564160532220359,0.25990640130509024,0.0038486802478152754,0.5811683811055218,0.008605910657775693,90.34905000255283,90.96961440826814,0.04504372263639901,0.04877681278358684,90.64819066689638,90.97264079067864,0.26012758860829677,0.5816629709512515,90.39782681533642,91.00619207001084,69.1,69.3,69.25999999999999,69.3,3.357195032078026e-05,5.542436382618467e-05,4.339967487083146e-05,4.189107869214182e-05,0.08232251923417351,0.08359630414146484,0.08315591949280772,0.08344168375257772,5,0.5632042567218463,0.05736014899346742,0.0005978826858045808,0.003135207461383245,0.5748139753422237,0.033551279332201034,6–8,744
4,1000,89.4483510893533,0.6210399737087419,90.1986754234401,0.7953153439908986,0.7330649354505213,0.1775820732773718,1.6391830275888613,0.3970855874335522,90.00097007309458,90.24823294229616,0.29314195309880325,0.8884410418564767,90.06939106306204,90.99399076743099,0.876346377533805,1.9595700720012823,90.29411202619337,91.13667398415264,67.6,69.3,68.22,67.7,0.0001283425223921701,0.0012036588709822922,0.0007331604971025417,0.0009388989721088519,0.10214274915806108,0.10656891553200072,0.10559706351596128,0.10648284894855117,5,0.19770535034551528,0.04955751885606219,0.5021733908920953,0.093125697865578,0.6998787412376117,0.1426832167216503,8–10,994
5,1500,76.98573811233743,11.381296753730535,76.92460425512003,11.892219387474086,1.2769253356734398,1.7860664106812048,2.855291852757549,3.9937659066122304,74.16323180126354,79.52148632079735,8.662070526159143,14.950928563138655,88.36703486606795,88.81682364259412,0.5657880404222594,1.265140519240571,88.18355684695649,89.1141603644022,68.8,69.7,69.24,69.0,0.010544921964922255,0.02649870497714103,0.019699980599841363,0.020584340808573177,0.12834202520409183,0.13877064439729406,0.13325525026666246,0.13314943316802813,5,2.761372453856495,2.5968820656773204,3.2301488613149427,3.0587091756645695,0.6332667956376241,0.2973367218080796,10–12,1492
6,2000,70.90977132466102,15.05490492976089,72.33341430991331,15.186690890502197,1.8545164525867202,0.47168204281662074,4.146824853375672,1.0547131115039303,71.16247561354521,73.15497927886416,14.3473947365611,15.857214620171003,85.96467625442192,88.19062893008432,2.145008469763314,4.796384750703572,87.38126623827495,88.34167016936635,68.2,69.5,68.88,68.8,0.03060160034122071,0.03632210136340386,0.03371557075540554,0.03401070638759137,0.14277886532707007,0.16604469573901753,0.1588029564783314,0.16199121545596365,5,1.170938696368097,0.8215649689508524,0.8392961539410972,0.6705237296688065,0.809362691809369,0.15104123928203705,12–14,1983
7,3000,72.45850976832845,10.052673845792373,72.95775557385916,10.00949720514425,0.9081208341909083,0.06921600270961138,2.030619917034686,0.15477168718950068,72.79122553529783,73.65308723106942,9.99239059625181,10.113019991511816,82.51118361412082,82.90424552680965,0.9296865494058506,2.0788423222386987,82.8249262120001,83.93437802898247,68.0,70.4,68.6,68.3,0.03181183011089344,0.03314695652669125,0.03240989380546689,0.03227069200107649,0.22223069132928225,0.23844926008497697,0.23360676402297093,0.2352163361416214,5,0.16653003856133353,0.6953316572102608,0.017106608892440534,0.10352278636756651,0.07931931480955257,1.030132502172819,14–16,2984
