,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,61.37909697592138,36.01309899336092,62.53602841769575,36.31852763107313,3.778591862721049,3.0018556632860065,7.557183725442098,6.003711326572013,58.39165446406987,65.52347092954726,33.147994441094276,39.183632183339775,97.3921959692823,98.21345086809552,1.1153616057342095,2.230723211468419,96.8198217447136,98.78582509266423,58.89,61.15,60.1375,60.254999999999995,0.004383870652288218,0.006580994995494543,0.005529327285839525,0.0055762217477876705,0.007874451148263005,0.010618156953122033,0.009423935322859017,0.009601566595025514,4,4.14437395362588,2.987442511851505,3.1705331899788547,2.8651045522666436,1.3936291233819276,0.5723742245687049,0–2,116
1,250,23.9052216517235,71.85583926749004,23.88858193704061,72.08991941244146,1.0423268490275064,0.8101461228236737,2.330713689198665,1.8115418023416283,22.246032248728405,25.47448059252881,70.90225832376937,72.2999101296061,95.76106091921355,96.37673891629818,0.6511958400730954,1.456118165068523,96.18849206664672,96.3829135996754,60.62,61.74,61.23,61.11,0.023199430682998137,0.024828578895286488,0.02396806890024177,0.02404614813638413,0.007033256225712028,0.0089498328634683,0.007973770892733656,0.00796822058767751,5,1.6425496883122044,1.5858986554882009,1.1876610886720869,0.20999071716464357,0.18824684965146332,0.00617468337722471,2–4,262
2,500,14.37818070375941,76.55460117043731,14.222168990644168,77.11119703274377,0.8511768813686129,0.9194013345381218,1.7023537627372258,1.8388026690762436,13.339331362146009,15.261018332257567,75.96117120331635,77.70462699986474,90.93278187419673,92.04304084572902,1.5089933518968415,3.017986703793683,90.36501479897399,92.61080792095177,61.03,61.56,61.3675,61.44,0.0475865760601061,0.05023206869875891,0.04926752555008457,0.04962572872073663,0.008080811693956101,0.010626455676009268,0.009253230692288552,0.00915282769959442,4,0.8828376284981587,1.0388493416133997,1.1500258294274204,0.5934299671209686,1.6780260467550363,0.567767075222747,4–6,509
3,750,19.69997200417819,71.16630424896218,19.90236169274138,71.11424658544888,0.6077801030709856,0.2713718081702837,1.3590376258385526,0.6068058102457873,18.92383128633327,20.618307798639073,70.69360747887293,71.67438725684933,90.86627625314037,91.57674894959071,0.6127881354798277,1.3702359267382456,90.8014696896477,91.70839503034898,61.86,62.8,62.391999999999996,62.35,0.06650282090669948,0.06782963488303967,0.0671583616325356,0.06710923575156051,0.016815097822536554,0.02004074241564945,0.01859050934244235,0.018781500852239928,5,0.9785304064081082,0.715946105897693,0.4206391065759476,0.5601406714004469,0.7752792599430052,0.1316460807582729,6–8,754
4,1000,26.018443777216294,62.990232879900546,26.46298115232678,63.22014027661182,0.6536510882509479,0.32629186385376635,1.4616082668958335,0.729610788082128,25.739556166574022,26.894303256581924,62.999329052943985,63.472163378617275,89.00867665711685,89.93514453094406,0.9274375003542052,2.0738132956744884,89.25933815978392,90.11444353319375,63.23,63.92,63.58,63.5,0.07672256569415727,0.0789345708507304,0.07827651235789855,0.0785622129872986,0.02936715712300661,0.03400362558446632,0.03233252113456507,0.032884937497316566,5,0.7234249857527573,0.4313221042551447,0.22081122366783745,0.2520231020054524,0.6758063711601352,0.1792990022496923,8–10,1009
5,1500,37.21524225680868,53.71857362786966,37.5664505744651,53.98025785760703,0.7465019371951169,0.2994410387982521,1.66922907690356,0.6695705180060436,37.130732726054674,38.171591734376165,53.79787792822054,54.0853116333988,90.93381588467834,91.7477378497264,1.030943521002138,2.305259793923763,90.92861065427522,92.25690336777497,65.65,66.98,66.41400000000002,66.51,0.09363642377982796,0.09654656871050392,0.09572205129503117,0.09618835092978217,0.06137150809115872,0.06907808307562961,0.06631448096408668,0.0669403051125616,5,0.4357178484104267,0.6051411599110637,0.18237992938649228,0.10505377579177377,0.8191271954511876,0.5091655180485617,10–12,1507
6,2000,49.044443463208026,43.70399002741624,50.166432845408096,43.73797828799591,1.3882782144907297,0.069605436802123,3.1042844592833054,0.15564248829311259,49.688596374856886,50.67759448965299,43.71160564718406,43.79927480203197,92.74843349062427,93.96570764744007,1.3505487647889622,3.019918844996494,93.40020202204094,94.41557277764889,69.23,70.25,69.812,69.94,0.0974964217543285,0.09837855745837465,0.09809110898944443,0.0981673936987076,0.09780085120055342,0.11472453242592286,0.11007745164819674,0.11259569272196016,5,0.47783647055121037,0.5111616442448934,0.02637264081185009,0.061296514036058625,0.5655056253991262,0.4498651302088206,12–14,2008
7,3000,65.98755553597593,31.870969001748243,66.61253238314285,31.874179229501127,1.1636791999228406,0.23493342757093313,2.6020657950300397,0.5253271142356297,65.9547980752721,67.44509533886341,31.7337580738197,32.16565267305105,97.85852453772416,99.10504635337891,1.0569819072990894,2.363483395708145,97.82897730477322,99.17885341268311,79.93,80.16,80.036,80.0,0.09203254622999152,0.09618815982666877,0.09434818933921638,0.09435769263281986,0.18238841813709086,0.2022318831380782,0.1953441197033829,0.19719424964156887,5,0.6577343078707543,0.8325629557205616,0.14042115568142677,0.291473443549922,1.2760690486056916,0.07380705930420106,14–16,3001
