I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.107,2.47,1.07,107.0,1902.8880000000001,0.0005285800000000001
0.259,3.12,2.59,259.0,5818.176,0.0016161600000000002
0.509,3.98,5.09,509.0,14585.904,0.0040516400000000004
0.761,4.62,7.61,761.0,25313.904,0.00703164
1.001,5.1,10.009999999999998,1000.9999999999998,36756.719999999994,0.0102102
1.502,6.04,15.02,1502.0,65318.975999999995,0.01814416
2.0,7.17,20.0,2000.0,103248.0,0.02868
2.998,8.84,29.980000000000004,2998.0000000000005,190816.70400000003,0.053004640000000006
