,J (A m-2),FE(H2)_mean,FE(CO)_mean,FE(H2)_median,FE(CO)_median,FE(H2)_sem,FE(CO)_sem,FE(H2)_std,FE(CO)_std,FE(H2)_q25,FE(H2)_q75,FE(CO)_q25,FE(CO)_q75,FE(total)_mean,FE(total)_median,FE(total)_sem,FE(total)_std,FE(total)_q25,FE(total)_q75,Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,c_CO_min,c_CO_max,c_CO_mean,c_CO_median,c_H2_min,c_H2_max,c_H2_mean,c_H2_median,n,FE(H2)_err_low,FE(H2)_err_high,FE(CO)_err_low,FE(CO)_err_high,FE(total)_err_low,FE(total)_err_high,Time Interval (h),J (A m-2)_ps
0,100,3.4962593608248924,96.94053963837185,3.6088559315745425,96.98335541928624,1.012893821300119,0.10270226054342546,2.025787642600238,0.20540452108685092,1.9744218679854824,5.130693424413953,96.8817064820084,97.04218857564969,100.43679899919674,100.65775319036541,1.0989569856119366,2.197913971223873,98.85612834999388,102.23842383956826,50.48,57.77,55.0325,55.94,0.015676687147876695,0.01575544041820718,0.0157230081726208,0.015729952562199664,0.00022103676990465755,0.0008765712669436811,0.000567066314143896,0.0005853286098636226,4,1.6344340635890602,1.5218374928394103,0.10164893727784374,0.058833156363448325,1.801624840371531,1.580670649202844,0–2,100
1,250,6.377535511308198,93.39689574706564,6.508510972334805,93.43584413941406,0.17040800963264924,0.19367556882255982,0.38104389344904266,0.43307173746818267,6.176330665198275,6.633538754717668,93.08427330173797,93.50787150031601,99.77443125837382,99.71781205645563,0.07229427708900531,0.1616549179552215,99.67292201584677,99.85286494230363,59.44,59.9,59.708000000000006,59.75,0.032526589356707415,0.03291808688169718,0.03269386160693456,0.03270749560771227,0.002035705975836524,0.002364213943329004,0.002232475305867666,0.0022783236562058285,5,0.3321803071365297,0.12502778238286272,0.35157083767609265,0.07202736090195572,0.04489004060886259,0.13505288584799757,2–4,255
2,500,5.405282069808602,89.46657574841183,5.412473447791841,90.03038814515759,0.040957938159712236,0.6670776020104076,0.10836451858456107,1.7649214401008588,5.346467391177859,5.488013587001849,89.55992384451088,90.38883543041456,94.87185781822042,95.50965745916649,0.645319495932128,1.7073549024179684,95.01667787911256,95.74872318684467,59.89,60.58,60.23857142857143,60.31,0.056318936415889406,0.059705363431315356,0.05886586860698726,0.05923683738709523,0.003439619364327685,0.0036371480792643358,0.003556485999864655,0.003561217674324344,7,0.06600605661398262,0.07554013921000813,0.47046430064671085,0.3584472852569718,0.4929795800539267,0.2390657276781809,4–6,502
3,750,5.754090150421962,84.75108315472549,5.7473664107796125,85.2399229852364,0.059117081875056286,0.4462081891594032,0.15640909687724291,1.180555901476248,5.67573233253597,5.866509754616114,84.76104441016479,85.39334077191397,90.50517330514745,90.86639997773435,0.41544423393052166,1.0991621265959022,90.66201964662272,91.0544224664857,60.02,60.68,60.290000000000006,60.27,0.07998227522788211,0.08324503617822332,0.0824863341863084,0.08296211106280552,0.005347655861144509,0.005793239616335676,0.005600327281001685,0.005593783215551714,7,0.07163407824364221,0.11914334383650171,0.4788785750716187,0.153417786677565,0.20438033111162213,0.18802248875135774,6–8,747
4,1000,10.457529570344821,80.30500694987848,10.587640672449226,80.75386984870343,0.16060862713401122,0.36151903485164755,0.42493048580809417,0.9564894604335519,10.370529977756492,10.748840132736927,80.1832764213207,80.8400324034098,90.7625365202233,91.48753397060035,0.5199100315484656,1.3755526476049855,90.55380639907719,91.52808664657084,59.71,60.53,60.089999999999996,59.99,0.10192695062963075,0.10544885830727989,0.10451791285968805,0.10510211321191033,0.012482751838561047,0.014037276693940805,0.013610597967360801,0.013779939099979264,7,0.21711069469273347,0.16119946028770116,0.5705934273827324,0.08616255470636247,0.9337275715231641,0.040552675970488394,8–10,998
5,1500,23.28689414988048,62.272590930948084,23.310406369601086,62.40482862114658,0.28917522074166463,0.2902607100558164,0.7650857194046515,0.7679576541807153,23.15462799572832,23.752738285542133,61.94653824634047,62.56789433008133,85.55948508082858,85.98602706837461,0.5229868751258159,1.3836932105337008,85.31254371325397,86.40793751345862,62.22,63.16,62.53857142857142,62.36,0.11925926232675547,0.1239422334179932,0.12166985386405475,0.12192822340033453,0.04252320065774309,0.04712446673504622,0.04549855668130835,0.04554449548511688,7,0.15577837387276716,0.4423319159410468,0.45829037480611134,0.16306570893475225,0.6734833551206378,0.4219104450840092,10–12,1495
6,2000,34.428211728968925,50.43695106070629,34.80225747140226,50.30467931887066,0.2823397826678357,0.19269839378469528,0.7470008501591179,0.5098320279958983,34.16882650159479,34.86481560348536,50.2682702205834,50.389295138397344,84.86516278967522,85.09054569815021,0.40741414599085046,1.0779165109015532,84.55812163999214,85.28940519225512,64.75,66.27,65.57142857142857,65.48,0.1252806300322562,0.12933815598998769,0.12660036643166156,0.12626835486806032,0.08277239147218868,0.08823362772948175,0.0864172819492642,0.08735616360365414,7,0.6334309698074634,0.06255813208310457,0.036409098287258246,0.0846158195266824,0.532424058158071,0.19885949410490866,12–14,1991
7,3000,46.593673847840265,34.286126028993564,46.98811319772287,34.43197438807684,0.5413587442988074,0.15381837796984274,1.43230060748485,0.4069651751795402,45.82611018678135,47.60986056685785,33.997309398651566,34.5899168788965,80.87979987683384,81.4200875857997,0.4311371118319107,1.1406815788778788,80.49885476978335,81.60716996550941,72.31,73.95,73.11285714285715,73.06,0.12072044884558292,0.12448320356995572,0.12291694500185843,0.123439816402287,0.1582714501010624,0.17261168404558508,0.16703992865646086,0.1684540073375895,7,1.1620030109415183,0.6217473691349795,0.4346649894252721,0.15794249081966427,0.9212328160163565,0.18708237970970742,14–16,2989
