U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.21V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;24.05.2024 15:48:11.587
40.00V;3.34V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:49:11.592
40.00V;3.34V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:50:11.591
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:51:11.593
40.00V;3.37V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:52:11.613
40.00V;3.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:53:11.630
40.00V;3.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:54:11.625
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:55:11.624
40.00V;3.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:56:11.630
40.00V;3.34V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:57:11.645
40.00V;3.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:58:11.654
40.00V;3.32V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 15:59:11.670
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:00:11.672
40.00V;3.35V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:01:11.683
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:02:11.682
40.00V;3.32V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:03:11.690
40.00V;3.34V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:04:11.692
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:05:11.709
40.00V;3.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:06:11.714
40.00V;3.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:07:11.711
40.00V;3.32V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:08:11.716
40.00V;3.33V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:09:11.708
40.00V;3.34V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:10:11.710
40.00V;3.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:11:11.725
40.00V;3.33V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:12:11.732
40.00V;3.32V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:13:11.726
40.00V;3.33V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:14:11.729
40.00V;3.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:15:11.742
40.00V;3.35V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:16:11.757
40.00V;3.34V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:17:11.768
40.00V;3.31V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:18:11.768
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:19:11.767
40.00V;3.33V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:20:11.757
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:21:11.759
40.00V;3.30V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:22:11.764
40.00V;3.32V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:23:11.771
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:24:11.758
40.00V;3.32V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:25:11.764
40.00V;3.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:26:11.772
40.00V;3.32V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:27:11.765
40.00V;3.33V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:28:11.764
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:29:11.761
40.00V;3.30V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:30:11.785
40.00V;3.31V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:31:11.789
40.00V;3.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:32:11.806
40.00V;3.34V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:33:11.816
40.00V;3.32V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:34:11.816
40.00V;3.32V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:35:11.811
40.00V;3.33V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:36:11.814
40.00V;3.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:37:11.821
40.00V;3.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:38:11.815
40.00V;3.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:39:11.826
40.00V;3.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:40:11.827
40.00V;3.34V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:41:11.818
40.00V;3.32V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:42:11.813
40.00V;3.31V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:43:11.827
40.00V;3.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:44:11.820
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:45:11.844
40.00V;3.31V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:46:11.860
40.00V;3.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:47:11.859
40.00V;3.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:48:11.870
40.00V;3.34V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:49:11.892
40.00V;3.31V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:50:11.899
40.00V;3.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:51:11.901
40.00V;3.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:52:11.901
40.00V;3.30V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:53:11.905
40.00V;3.30V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:54:11.902
40.00V;3.31V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:55:11.911
40.00V;3.31V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:56:11.911
40.00V;3.33V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;24.05.2024 16:57:11.899
