U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.17V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;31.05.2024 18:56:33.853
40.00V;2.09V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:38.852
40.00V;2.07V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:43.849
40.00V;2.13V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:48.848
40.00V;2.17V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:53.858
40.00V;2.25V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:56:58.850
40.00V;2.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:03.861
40.00V;2.31V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:08.858
40.00V;2.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:13.858
40.00V;2.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:18.853
40.00V;2.32V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:23.855
40.00V;2.34V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:28.853
40.00V;2.33V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:33.861
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:38.850
40.00V;2.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:43.856
40.00V;2.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:48.863
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:53.855
40.00V;2.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:57:58.857
40.00V;2.35V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:03.851
40.00V;2.37V;0.100A;0.122A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:08.865
40.00V;2.35V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:13.850
40.00V;2.35V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:18.853
40.00V;2.36V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:23.876
40.00V;2.36V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:28.850
40.00V;2.35V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:33.849
40.00V;2.35V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:38.864
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;31.05.2024 18:58:43.850
