Time,Temperature (C),Pressure (kPa)
2024-05-07 15:12:43.836,18.5,102.1
2024-05-07 15:12:58.093,18.5,102.1
2024-05-07 15:13:11.507,18.5,102.1
2024-05-07 15:13:24.838,18.5,102.1
2024-05-07 15:13:38.502,18.4,102.1
2024-05-07 15:13:51.892,18.5,102.1
2024-05-07 15:14:05.636,18.5,102.1
2024-05-07 15:14:18.888,18.5,102.1
2024-05-07 15:14:32.715,18.5,102.1
2024-05-07 15:14:46.245,18.4,102.1
2024-05-07 15:14:59.693,18.5,102.1
2024-05-07 15:15:13.380,18.6,102.1
2024-05-07 15:15:26.872,18.5,102.1
2024-05-07 15:15:40.455,18.4,102.1
2024-05-07 15:15:53.803,18.4,102.1
2024-05-07 15:16:07.361,18.4,102.1
2024-05-07 15:16:20.845,18.4,102.1
2024-05-07 15:16:34.419,18.3,102.1
2024-05-07 15:16:47.765,18.5,102.1
2024-05-07 15:17:01.229,18.4,102.1
2024-05-07 15:17:14.889,18.5,102.1
2024-05-07 15:17:28.625,18.4,102.1
2024-05-07 15:17:42.457,18.5,102.1
2024-05-07 15:17:55.926,18.4,102.1
2024-05-07 15:18:09.119,18.5,102.1
2024-05-07 15:18:22.732,18.5,102.1
2024-05-07 15:18:36.287,18.3,102.1
2024-05-07 15:18:50.049,18.3,102.1
2024-05-07 15:19:03.983,18.3,102.1
2024-05-07 15:19:17.853,18.4,102.1
2024-05-07 15:19:31.391,18.4,102.1
2024-05-07 15:19:44.929,18.4,102.1
2024-05-07 15:19:58.356,18.4,102.1
2024-05-07 15:20:11.863,18.4,102.1
2024-05-07 15:20:25.414,18.3,102.1
2024-05-07 15:20:39.377,18.3,102.1
2024-05-07 15:20:53.032,18.5,102.1
2024-05-07 15:21:06.706,18.3,102.1
2024-05-07 15:21:20.173,18.4,102.1
2024-05-07 15:21:34.027,18.5,102.1
2024-05-07 15:21:48.181,18.4,102.1
2024-05-07 15:22:01.979,18.5,102.1
2024-05-07 15:22:15.742,18.5,102.1
2024-05-07 15:22:29.708,18.3,102.1
2024-05-07 15:22:43.276,18.3,102.1
2024-05-07 15:22:56.884,18.4,102.1
2024-05-07 15:23:10.103,18.2,102.1
2024-05-07 15:23:23.847,18.3,102.1
2024-05-07 15:23:37.458,18.2,102.1
2024-05-07 15:23:51.164,18.3,102.1
2024-05-07 15:24:04.680,18.3,102.1
2024-05-07 15:24:18.604,18.4,102.1
2024-05-07 15:24:32.096,18.4,102.1
2024-05-07 15:24:45.671,18.3,102.1
2024-05-07 15:24:59.321,18.5,102.1
2024-05-07 15:25:12.611,18.4,102.1
2024-05-07 15:25:26.117,18.4,102.1
2024-05-07 15:25:39.453,18.3,102.1
2024-05-07 15:25:52.955,18.2,102.1
2024-05-07 15:26:06.207,18.3,102.1
2024-05-07 15:26:19.562,18.3,102.1
2024-05-07 15:26:32.962,18.3,102.1
2024-05-07 15:26:46.069,18.3,102.1
2024-05-07 15:26:59.191,18.3,102.1
2024-05-07 15:27:12.355,18.3,102.1
2024-05-07 15:27:25.646,18.2,102.1
2024-05-07 15:27:39.359,18.3,102.1
2024-05-07 15:27:52.681,18.3,102.1
2024-05-07 15:28:06.165,18.4,102.1
2024-05-07 15:28:19.406,18.3,102.1
2024-05-07 15:28:32.768,18.3,102.1
2024-05-07 15:28:45.895,18.2,102.1
2024-05-07 15:28:59.222,18.3,102.1
2024-05-07 15:29:12.637,18.4,102.1
2024-05-07 15:29:25.942,18.3,102.1
2024-05-07 15:29:38.950,18.1,102.1
2024-05-07 15:29:51.761,18.2,102.1
2024-05-07 15:30:04.900,18.2,102.1
2024-05-07 15:30:17.781,18.3,102.1
2024-05-07 15:30:30.967,18.2,102.1
2024-05-07 15:30:43.723,18.3,102.1
2024-05-07 15:30:56.409,18.4,102.1
2024-05-07 15:31:09.197,18.4,102.1
2024-05-07 15:31:22.322,18.3,102.1
2024-05-07 15:31:35.050,18.3,102.1
2024-05-07 15:31:48.039,18.4,102.1
2024-05-07 15:32:01.078,18.3,102.1
2024-05-07 15:32:13.849,18.2,102.1
2024-05-07 15:32:26.484,18.4,102.1
2024-05-07 15:32:39.029,18.3,102.1
2024-05-07 15:32:51.860,18.4,102.1
2024-05-07 15:33:04.554,18.4,102.1
2024-05-07 15:33:16.978,18.3,102.1
2024-05-07 15:33:29.283,18.3,102.1
2024-05-07 15:33:41.872,18.2,102.1
2024-05-07 15:33:54.028,18.3,102.1
2024-05-07 15:34:06.516,18.2,102.1
2024-05-07 15:34:19.046,18.2,102.1
2024-05-07 15:34:31.291,18.2,102.1
2024-05-07 15:34:43.797,18.3,102.1
2024-05-07 15:34:56.138,18.3,102.1
2024-05-07 15:35:08.755,18.3,102.1
2024-05-07 15:35:21.383,18.3,102.1
2024-05-07 15:35:33.613,18.3,102.1
2024-05-07 15:35:45.715,18.3,102.1
2024-05-07 15:35:57.912,18.2,102.1
2024-05-07 15:36:09.839,18.3,102.1
2024-05-07 15:36:22.173,18.3,102.1
2024-05-07 15:36:34.460,18.3,102.1
2024-05-07 15:36:46.376,18.5,102.1
2024-05-07 15:36:58.174,18.4,102.1
2024-05-07 15:37:10.246,18.5,102.1
2024-05-07 15:37:22.241,18.4,102.1
2024-05-07 15:37:33.955,18.4,102.1
2024-05-07 15:37:45.719,18.5,102.1
2024-05-07 15:37:57.387,18.4,102.1
2024-05-07 15:38:09.072,18.3,102.1
2024-05-07 15:38:20.602,18.4,102.1
2024-05-07 15:38:32.136,18.5,102.1
2024-05-07 15:38:43.950,18.4,102.1
2024-05-07 15:38:55.561,18.5,102.1
2024-05-07 15:39:07.159,18.4,102.1
2024-05-07 15:39:18.759,18.4,102.1
2024-05-07 15:39:30.424,18.5,102.1
2024-05-07 15:39:41.871,18.4,102.1
2024-05-07 15:39:53.242,18.4,102.1
2024-05-07 15:40:04.727,18.4,102.1
2024-05-07 15:40:16.305,18.3,102.1
2024-05-07 15:40:27.826,18.3,102.1
2024-05-07 15:40:39.304,18.3,102.1
2024-05-07 15:40:50.865,18.4,102.1
2024-05-07 15:41:02.466,18.4,102.1
2024-05-07 15:41:14.140,18.4,102.1
2024-05-07 15:41:25.664,18.5,102.1
2024-05-07 15:41:37.273,18.6,102.1
2024-05-07 15:41:48.597,18.5,102.1
2024-05-07 15:41:59.955,18.5,102.1
2024-05-07 15:42:11.289,18.4,102.1
2024-05-07 15:42:22.791,18.5,102.1
2024-05-07 15:42:34.027,18.4,102.1
2024-05-07 15:42:45.336,18.4,102.1
2024-05-07 15:42:56.739,18.4,102.1
2024-05-07 15:43:08.050,18.4,102.1
2024-05-07 15:43:19.333,18.3,102.1
2024-05-07 15:43:30.675,18.4,102.1
2024-05-07 15:43:42.192,18.4,102.1
2024-05-07 15:43:53.539,18.4,102.1
2024-05-07 15:44:04.661,18.4,102.1
2024-05-07 15:44:15.815,18.4,102.1
2024-05-07 15:44:26.928,18.3,102.1
2024-05-07 15:44:38.174,18.3,102.1
2024-05-07 15:44:49.259,18.4,102.1
2024-05-07 15:45:00.618,18.4,102.1
2024-05-07 15:45:11.856,18.3,102.1
2024-05-07 15:45:22.943,18.3,102.1
2024-05-07 15:45:34.147,18.4,102.1
2024-05-07 15:45:45.151,18.4,102.1
2024-05-07 15:45:56.146,18.5,102.1
2024-05-07 15:46:07.247,18.4,102.1
2024-05-07 15:46:18.152,18.3,102.1
2024-05-07 15:46:29.251,18.3,102.1
2024-05-07 15:46:40.529,18.4,102.1
2024-05-07 15:46:51.507,18.3,102.1
2024-05-07 15:47:02.484,18.3,102.1
2024-05-07 15:47:13.390,18.5,102.1
2024-05-07 15:47:24.501,18.4,102.1
2024-05-07 15:47:35.656,18.4,102.1
2024-05-07 15:47:46.699,18.4,102.1
2024-05-07 15:47:57.682,18.4,102.1
2024-05-07 15:48:08.905,18.3,102.1
2024-05-07 15:48:20.026,18.3,102.1
2024-05-07 15:48:30.834,18.2,102.1
2024-05-07 15:48:41.977,18.2,102.1
2024-05-07 15:48:53.192,18.3,102.1
2024-05-07 15:49:04.156,18.4,102.1
2024-05-07 15:49:14.925,18.5,102.1
2024-05-07 15:49:25.831,18.4,102.1
2024-05-07 15:49:36.832,18.3,102.1
2024-05-07 15:49:47.855,18.3,102.1
2024-05-07 15:49:58.959,18.3,102.1
2024-05-07 15:50:09.898,18.3,102.1
2024-05-07 15:50:20.920,18.4,102.1
2024-05-07 15:50:31.781,18.4,102.1
2024-05-07 15:50:43.001,18.4,102.1
2024-05-07 15:50:54.084,18.4,102.1
2024-05-07 15:51:05.038,18.4,102.1
2024-05-07 15:51:15.947,18.5,102.1
2024-05-07 15:51:26.880,18.4,102.1
2024-05-07 15:51:38.109,18.4,102.1
2024-05-07 15:51:48.971,18.4,102.1
2024-05-07 15:52:00.018,18.3,102.1
2024-05-07 15:52:11.069,18.3,102.1
2024-05-07 15:52:21.995,18.3,102.1
2024-05-07 15:52:32.918,18.3,102.1
2024-05-07 15:52:43.829,18.3,102.1
2024-05-07 15:52:54.818,18.4,102.1
2024-05-07 15:53:05.578,18.4,102.1
2024-05-07 15:53:16.240,18.4,102.2
2024-05-07 15:53:27.122,18.4,102.2
2024-05-07 15:53:37.997,18.4,102.2
2024-05-07 15:53:48.921,18.3,102.2
2024-05-07 15:53:59.923,18.4,102.2
2024-05-07 15:54:10.949,18.4,102.2
2024-05-07 15:54:21.833,18.3,102.2
2024-05-07 15:54:32.826,18.4,102.2
2024-05-07 15:54:43.767,18.4,102.2
2024-05-07 15:54:54.882,18.3,102.2
2024-05-07 15:55:05.905,18.4,102.2
2024-05-07 15:55:16.745,18.4,102.2
2024-05-07 15:55:27.965,18.4,102.2
2024-05-07 15:55:38.760,18.4,102.2
2024-05-07 15:55:49.341,18.3,102.2
2024-05-07 15:56:00.410,18.4,102.2
2024-05-07 15:56:11.464,18.4,102.2
2024-05-07 15:56:22.202,18.4,102.2
2024-05-07 15:56:33.221,18.3,102.2
2024-05-07 15:56:44.085,18.3,102.2
2024-05-07 15:56:54.890,18.3,102.2
2024-05-07 15:57:05.724,18.3,102.2
2024-05-07 15:57:16.599,18.2,102.2
2024-05-07 15:57:27.265,18.4,102.2
2024-05-07 15:57:38.187,18.4,102.2
2024-05-07 15:57:48.870,18.3,102.2
2024-05-07 15:57:59.792,18.3,102.2
2024-05-07 15:58:10.690,18.4,102.2
2024-05-07 15:58:21.736,18.3,102.2
2024-05-07 15:58:32.851,18.2,102.2
2024-05-07 15:58:43.854,18.2,102.2
2024-05-07 15:58:54.947,18.2,102.2
2024-05-07 15:59:05.782,18.3,102.2
2024-05-07 15:59:16.821,18.3,102.2
2024-05-07 15:59:27.671,18.4,102.2
2024-05-07 15:59:38.550,18.4,102.2
2024-05-07 15:59:49.520,18.4,102.2
2024-05-07 16:00:00.135,18.4,102.2
2024-05-07 16:00:10.700,18.4,102.2
2024-05-07 16:00:21.511,18.4,102.2
2024-05-07 16:00:32.481,18.3,102.2
2024-05-07 16:00:43.099,18.3,102.2
2024-05-07 16:00:53.611,18.4,102.2
2024-05-07 16:01:04.343,18.5,102.2
2024-05-07 16:01:15.318,18.4,102.2
2024-05-07 16:01:25.934,18.3,102.2
2024-05-07 16:01:36.889,18.2,102.2
2024-05-07 16:01:47.829,18.3,102.2
2024-05-07 16:01:58.666,18.3,102.2
2024-05-07 16:02:09.107,18.3,102.2
2024-05-07 16:02:19.480,18.4,102.2
2024-05-07 16:02:30.153,18.3,102.2
2024-05-07 16:02:41.109,18.3,102.2
2024-05-07 16:02:51.729,18.3,102.2
2024-05-07 16:03:02.477,18.3,102.2
2024-05-07 16:03:13.438,18.4,102.2
2024-05-07 16:03:24.017,18.3,102.2
2024-05-07 16:03:34.784,18.3,102.2
2024-05-07 16:03:45.421,18.2,102.2
2024-05-07 16:03:56.247,18.3,102.2
2024-05-07 16:04:07.083,18.3,102.2
2024-05-07 16:04:17.737,18.4,102.2
2024-05-07 16:04:28.266,18.4,102.2
2024-05-07 16:04:38.882,18.4,102.2
2024-05-07 16:04:49.645,18.4,102.2
2024-05-07 16:05:00.236,18.3,102.2
2024-05-07 16:05:10.897,18.3,102.2
2024-05-07 16:05:21.713,18.4,102.2
2024-05-07 16:05:32.644,18.3,102.2
2024-05-07 16:05:43.291,18.3,102.2
2024-05-07 16:05:53.848,18.4,102.2
2024-05-07 16:06:04.796,18.4,102.2
2024-05-07 16:06:15.601,18.4,102.2
2024-05-07 16:06:26.217,18.5,102.2
2024-05-07 16:06:36.884,18.4,102.2
2024-05-07 16:06:47.502,18.4,102.2
2024-05-07 16:06:57.944,18.4,102.2
2024-05-07 16:07:08.582,18.4,102.2
2024-05-07 16:07:19.357,18.3,102.2
2024-05-07 16:07:30.074,18.3,102.2
2024-05-07 16:07:40.511,18.5,102.2
2024-05-07 16:07:51.338,18.5,102.2
2024-05-07 16:08:02.012,18.5,102.2
