U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.17V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;27.05.2024 18:15:14.204
40.00V;2.10V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:19.209
40.00V;2.24V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:24.202
40.00V;2.29V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:29.205
40.00V;2.29V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:34.206
40.00V;2.31V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:39.204
40.00V;2.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:44.193
40.00V;2.36V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:49.199
40.00V;2.31V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:54.197
40.00V;2.29V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:15:59.193
40.00V;2.32V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:04.197
40.00V;2.31V;0.100A;0.110A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:09.201
40.00V;2.31V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:14.192
40.00V;2.35V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:19.193
40.00V;2.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:24.199
40.00V;2.31V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:29.195
40.00V;2.29V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:34.205
40.00V;2.31V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:39.200
40.00V;2.32V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:44.206
40.00V;2.31V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:49.196
40.00V;2.32V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:54.201
40.00V;2.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:16:59.202
40.00V;2.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:04.199
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:09.205
40.00V;2.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:14.208
40.00V;2.32V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:19.203
40.00V;2.37V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:24.193
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:29.192
40.00V;2.32V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:34.205
40.00V;2.36V;0.100A;0.120A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:39.197
40.00V;2.31V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:44.203
40.00V;2.36V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:49.206
40.00V;2.32V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:54.207
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:17:59.195
40.00V;2.36V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:04.193
40.00V;2.33V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:09.196
40.00V;2.36V;0.100A;0.122A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:14.193
40.00V;2.34V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:19.196
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:24.204
40.00V;2.37V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:29.201
40.00V;2.39V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:34.201
40.00V;2.35V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:39.206
40.00V;2.36V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:44.205
40.00V;2.33V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:49.198
40.00V;2.37V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:54.201
40.00V;2.35V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:18:59.195
40.00V;2.36V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:19:04.198
40.00V;2.34V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;27.05.2024 18:19:09.196
