Current [A],FE_CO,FE_CO_q25,FE_CO_q75,FE_H2,FE_H2_q25,FE_H2_q75,area_H2,area_CO,Q_dry,V,n,FE_total,FE_CO_err_low,FE_CO_err_high,FE_H2_err_low,FE_H2_err_high,EC_kWh
0.102,0.0,0.0,0.0,0.3207055456414631,0.3079983267350852,0.33341276454784097,23049.5,0.0,48.47527363508898,2.19,2,0.3207055456414631,0.0,0.0,0.012707218906377882,0.012707218906377882,7.445999999999997e-05
0.255,0.0,0.0,0.0,1.384618662635015,0.6951785980881113,29.159263808450756,251318.0,0.0,47.96935416798365,2.55,3,1.384618662635015,0.0,0.0,0.6894400645469037,27.77464514581574,0.00021674999999999998
0.501,0.0,0.0,0.0,44.86142713940146,38.531818413617366,51.19103586518555,15043750.0,0.0,49.747277859461214,3.03,2,44.86142713940146,0.0,0.0,6.329608725784091,6.329608725784091,0.00050601
1.001,2.9676967563538215,1.1300306398061952,5.43063195038401,42.55747267820853,37.43049985788752,47.29516305059899,27540685.0,191817.0,50.60023775551134,3.59,4,45.52516943456236,1.8376661165476262,2.4629351940301882,5.126972820321015,4.737690372390453,0.0011978633333333333
1.505,16.726796443272615,11.526174082333705,21.927418804211527,38.94127059890535,37.030582800025,40.85195839778569,37266277.5,1622958.0,50.679000733120105,3.95,2,55.66806704217797,5.20062236093891,5.200622360938912,1.9106877988803461,1.910687798880339,0.0019815833333333335
2.007,29.018345974497368,25.720979178028728,30.29390788168697,41.53115584075434,37.73193258088125,42.92712265563188,49809031.0,3593448.0,52.953505377255986,4.24,3,70.5495018152517,3.2973667964686406,1.2755619071896014,3.799223259873088,1.3959668148775393,0.0028365600000000006
2.505,29.676151294350394,29.197879202236873,30.801415311450363,44.23470393075514,42.24486876401034,48.88424375038148,61700452.0,4349147.0,55.84666869075458,4.46,3,73.91085522510554,0.47827209211352084,1.125264017099969,1.9898351667447969,4.649539819626341,0.0037241
3.004,29.410782487802216,28.877283555515696,29.887075214350048,60.531574700805976,57.343081723391705,66.40499662830226,93180749.0,4974870.0,58.024422055404415,4.72,6,89.94235718860818,0.5334989322865198,0.4762927265478325,3.1884929774142705,5.873421927496281,0.0047262933333333335
