Time (UTC),Flow_rate_min,Flow_rate_max,Flow_rate_mean,Flow_rate_median,Flow_rate_min_dry,Flow_rate_max_dry,Flow_rate_mean_dry,Flow_rate_median_dry,Current [A],Voltage
2026-04-02 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,2.19
2026-04-02 14:40:00,0.0,2.206506,0.35152605263157904,0.255653,0.0,2.1509982941080192,0.3426829292759921,0.2492216956960903,0.255,2.55
2026-04-02 15:00:00,0.545595,1.207793,0.6474637500000002,0.564703,0.531869804239764,1.1774092989711364,0.631175905139973,0.5504971161092155,0.501,3.03
2026-04-02 15:20:00,1.140872,2.529292,1.3394370000000002,1.1835375,1.1121717891524447,2.4656641664700025,1.3057416123342347,1.153763979573529,1.001,3.59
2026-04-02 15:40:00,2.157447,3.464899,2.4282006000000003,2.2951699999999997,2.1031734410096607,3.3777346801941985,2.3671158602569258,2.237431828731896,1.505,3.95
2026-04-02 16:00:00,3.189331,4.941414,3.587019599999999,3.425621,3.1090989738282255,4.8171059061164945,3.496783167837308,3.339444772532051,2.007,4.24
2026-04-02 16:20:00,4.252924,5.689627,4.66463461904762,4.543821,4.145935822957678,5.546496574725347,4.547289292759068,4.429514907157376,2.505,4.46
2026-04-02 16:40:00,5.30972,6.790139,5.6927131499999994,5.526358500000001,5.17614666000964,6.619323675420022,5.549505088359735,5.387335319337156,3.004,4.72
