I actual,Voltage,Current Density [mA cm-2],Current Density [A m-2],Energy Consumption [J],Energy Consumption [kWh]
0.0985,2.25,0.9850000000000001,98.50000000000001,265.95,7.387499999999999e-05
0.251,2.57,2.51,250.99999999999997,774.084,0.00021502333333333333
0.497,3.09,4.97,497.0,1842.8759999999997,0.00051191
1.001,3.605,10.009999999999998,1000.9999999999998,4330.325999999999,0.001202868333333333
1.499,3.94,14.990000000000002,1499.0000000000002,7087.272000000001,0.001968686666666667
2.002,4.2,20.019999999999996,2001.9999999999995,10090.079999999998,0.0028027999999999994
2.499,4.45,24.990000000000002,2499.0,13344.660000000002,0.0037068500000000002
3.001,4.68,30.009999999999998,3001.0,16853.615999999998,0.0046815599999999995
