,Applied current / A,Current Density_mean,Current Density_std,FE_O2_mean,FE_O2_std,FE_O2_sem
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,100.0,0.0,38.67905615763571,7.559993718815829,4.364764408630199
2,0.25,250.0,0.0,40.46249605564501,12.531444096442323,7.235032622415722
3,0.5,500.0,0.0,35.82794833208123,0.743140841344619,0.42905256479612075
4,1.0,1000.0,0.0,36.11477418670744,0.36755129404176623,0.21220583855600902
5,1.5,1500.0,0.0,34.23734709815135,0.8443773651424907,0.487501499062644
6,2.0,2000.0,0.0,31.495190006928993,0.9231477444098966,0.5329795987368496
7,2.5,2500.0,0.0,29.80739164533154,0.16806589714768558,0.09703289095981223
8,3.0,3000.0,0.0,32.019698795447326,1.2351398174535106,0.7131083060936096
