U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
0.00V;0.00V;0.000A;0.000A;320.00W;0.00W;N/A;N/A;N/A;On;CV;None;07.06.2024 16:53:28.280
40.00V;2.48V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:53:33.267
40.00V;2.54V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:53:38.292
40.00V;2.61V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:53:43.295
40.00V;2.72V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:53:48.283
40.00V;2.82V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:53:53.290
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:53:58.296
40.00V;2.93V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:03.290
40.00V;2.94V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:08.288
40.00V;2.96V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:13.290
40.00V;2.95V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:18.287
40.00V;2.93V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:23.296
40.00V;2.95V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:28.290
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:33.291
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:38.298
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:43.308
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:48.302
40.00V;2.94V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:53.307
40.00V;2.93V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:54:58.316
40.00V;2.97V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:03.326
40.00V;2.95V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:08.334
40.00V;2.97V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:13.339
40.00V;2.97V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:18.357
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:23.358
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:28.366
40.00V;2.95V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:33.363
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:38.374
40.00V;2.96V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:43.373
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:48.377
40.00V;2.96V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:53.379
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:55:58.386
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:03.385
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:08.379
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:13.387
40.00V;2.95V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:18.386
40.00V;2.96V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:23.385
40.00V;2.96V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:28.397
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:33.399
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:38.399
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:43.402
40.00V;2.99V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:48.401
40.00V;3.01V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:53.400
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:56:58.417
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:03.417
40.00V;2.98V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:08.423
40.00V;3.01V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:13.422
40.00V;2.99V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:18.428
40.00V;2.97V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:23.409
40.00V;3.02V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:28.409
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:33.424
40.00V;3.01V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:38.413
40.00V;2.99V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:43.418
40.00V;3.02V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:48.454
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:53.425
40.00V;2.98V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:57:58.431
40.00V;3.03V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:03.462
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:08.449
40.00V;3.04V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:13.450
40.00V;2.99V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:18.459
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:23.463
40.00V;2.99V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:28.469
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:33.505
40.00V;3.00V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:38.459
40.00V;2.99V;0.100A;0.121A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:43.459
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:48.510
40.00V;3.03V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:53.470
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:58:58.470
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:59:03.458
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:59:08.473
40.00V;2.99V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:59:13.487
40.00V;3.04V;0.100A;0.112A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:59:18.551
40.00V;3.04V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:59:23.491
40.00V;3.00V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;07.06.2024 16:59:28.497
